lambda,r
604.5738525,1971
604.7296753,2030
604.885437,1907
605.0412598,1964
605.1970215,1976
605.3527832,1757
605.508606,1849
605.6643677,1999
605.8200684,1992
605.9758301,1876
606.1315918,2010
606.2872925,1968
606.4429932,1999
606.5987549,1914
606.7544556,2190
606.9101563,2169
607.0657959,2312
607.2214966,2363
607.3771973,2633
607.5328369,2675
607.6884766,3006
607.8441162,3544
607.9997559,4633
608.1553955,5894
608.3110352,6871
608.4666138,7627
608.6222534,8118
608.777832,7766
608.9334106,7041
609.0889893,6503
609.2445679,5869
609.4001465,5201
609.5556641,4517
609.7112427,3944
609.8667603,3611
610.0223389,3220
610.1778564,2994
610.333374,2930
610.4888306,2742
610.6443481,2689
610.7998657,2640
610.9553223,2799
611.1107788,2921
611.2662354,3001
611.4216919,3202
611.5771484,3424
611.732605,3563
611.8880005,4330
612.043457,4832
612.1988525,6117
612.354248,7846
612.5096436,10057
612.6650391,11591
612.8204346,13652
612.9758301,14826
613.1311646,15501
613.286499,15550
613.4418945,14989
613.597229,13902
613.7525635,12941
613.9078979,11514
614.0631714,10359
614.2185059,9250
614.3737793,8161
614.5290527,7324
614.6843872,6633
614.8396606,6033
614.994873,5309
615.1501465,4794
615.3054199,4416
615.4606323,4008
615.6158447,3902
615.7711182,3576
615.9263306,3533
616.081543,3390
616.2366943,3126
616.3919067,3091
616.5470581,3202
616.7022705,3134
616.8574219,2963
617.0125732,3055
617.1677246,3199
617.322876,2871
617.4780273,3033
617.6331177,3131
617.788208,3023
617.9433594,2895
618.0984497,3027
618.25354,3184
618.4086304,3181
618.5636597,3223
618.71875,3257
618.8737793,3505
619.0288696,3532
619.1838989,3696
619.3389282,3649
619.4939575,3548
619.6489868,3518
619.8039551,3558
619.9589844,3344
620.1139526,3276
620.2689209,3136
620.4238892,2929
620.5788574,2957
620.7338257,2968
620.8887939,2942
621.0437012,3188
621.1986694,3304
621.3535767,3282
621.5084839,3068
621.6633911,3279
621.8182983,3050
621.9731445,2952
622.1280518,2873
622.2828979,2904
622.4378052,2703
622.5926514,2893
622.7474976,3120
622.9023438,3044
623.0571289,3162
623.2119751,3243
623.3667603,3368
623.5216064,3290
623.6763916,3482
623.8311768,3353
623.9859619,3337
624.1407471,3660
624.2954712,3663
624.4502563,3633
624.6049805,3604
624.7597046,3788
624.9144287,3616
625.0691528,3635
625.223877,3484
625.3786011,3660
625.5332642,3706
625.6879883,3814
625.8426514,3923
625.9973145,4060
626.1519775,3972
626.3066406,4039
626.4613037,3935
626.6159058,3907
626.7705688,3900
626.9251709,3884
627.0797729,4041
627.234375,3853
627.3889771,3983
627.5435791,4054
627.6981201,3982
627.8527222,4428
628.0072632,4488
628.1618042,4503
628.3163452,4989
628.4708862,5079
628.6254272,5312
628.7799683,6020
628.9344482,6289
629.0889893,6886
629.2434692,8031
629.3979492,9230
629.5524292,11166
629.7069092,14172
629.8613281,17239
630.0158081,22055
630.1702271,26091
630.324646,30239
630.4790649,32686
630.6334839,33621
630.7879028,33439
630.9423218,31695
631.0967407,29699
631.2510986,27031
631.4054565,24470
631.5598145,21461
631.7141724,18661
631.8685303,16439
632.0228882,14219
632.1771851,12173
632.331543,11206
632.4858398,9678
632.6401367,8671
632.7944336,8035
632.9487305,7196
633.1030273,6803
633.2573242,6401
633.4115601,6581
633.5657959,6467
633.7200928,6828
633.8743286,7885
634.0285645,9214
634.1827393,11812
634.3369751,15265
634.4912109,19278
634.6453857,22064
634.7995605,24281
634.9537354,24414
635.1079102,23606
635.262085,21677
635.4162598,19698
635.5703735,17372
635.7244873,15405
635.8786621,13313
636.0327759,11562
636.1868896,10045
636.3410034,9030
636.4950562,8116
636.6491699,7150
636.8032227,6173
636.9572754,5716
637.1113892,5189
637.2654419,4920
637.4194336,4537
637.5734863,4084
637.7275391,4008
637.8815308,3628
638.0355225,3564
638.1895752,3240
638.3435669,3072
638.4974976,2870
638.6514893,2724
638.805481,2624
638.9594116,2578
639.1134033,2444
639.267334,2263
639.4212646,2018
639.5751953,2000
639.7290649,1907
639.8829956,2038
640.0368652,1919
640.1907959,1935
640.3446655,1948
640.4985352,1823
640.6524048,1881
640.8062744,1805
640.960083,1913
641.1139526,1872
641.2677612,1837
641.4215698,1956
641.5753784,1736
641.729187,1492
641.8829956,1506
642.0368042,1572
642.1905518,1548
642.3443604,1668
642.4981079,1580
642.6518555,1503
642.805603,1436
642.9593506,1440
643.1130371,1472
643.2667847,1300
643.4204712,1375
643.5742188,1264
643.7279053,1342
643.8815918,1468
644.0352173,1426
644.1889038,1421
644.3425903,1306
644.4962158,1309
644.6498413,1404
644.8034668,1441
644.9570923,1312
645.1107178,1453
645.2643433,1370
645.4179077,1572
645.5715332,1480
645.7250977,1518
645.8786621,1756
646.0322266,2091
646.185791,2084
646.3393555,2516
646.4928589,3355
646.6464233,4164
646.7999268,4939
646.9534302,6132
647.1069336,6918
647.260437,7271
647.4139404,7418
647.5673828,7059
647.7208862,6370
647.8743286,5995
648.027771,5161
648.1812134,4419
648.3346558,4009
648.4880981,3553
648.6415405,3047
648.7949219,2592
648.9483032,2393
649.1016846,2112
649.2550659,2004
649.4084473,1683
649.5618286,1734
649.71521,1552
649.8685303,1416
650.0219116,1416
650.1752319,1491
650.3285522,1323
650.4818726,1354
650.6351318,1524
650.7884521,1230
650.9417114,1389
651.0950317,1305
651.248291,1365
651.4015503,1514
651.5548096,1485
651.7080688,1738
651.8612671,1688
652.0145264,1716
652.1677246,1533
652.3209229,1616
652.4741211,1495
652.6273193,1444
652.7805176,1418
652.9337158,1298
653.086853,1484
653.2400513,1251
653.3931885,1314
653.5463257,1351
653.6994629,1171
653.8525391,1102
654.0056763,1267
654.1588135,921
654.3118896,1063
654.4649658,993
654.618042,1139
654.7711182,1015
654.9241943,944
655.0772705,971
655.2302856,1066
655.3833008,1097
655.536377,1207
655.6893921,984
655.8424072,1003
655.9953613,1273
656.1483765,1222
656.3013916,1069
656.4543457,1060
656.6072998,1205
656.7602539,1140
656.913208,1091
657.0661621,1084
657.2191162,888
657.3720093,808
657.5249023,1006
657.6778564,949
657.8307495,1114
657.9836426,930
658.1364746,1016
658.2893677,917
658.4422607,872
658.5950928,869
658.7479248,1149
658.9007568,956
659.0535889,822
659.2064209,1030
659.3592529,890
659.5120239,886
659.664856,942
659.817627,857
659.9703979,947
660.1231689,949
660.2759399,847
660.4286499,1001
660.5814209,904
660.7341309,899
660.8868408,918
661.0395508,917
661.1922607,914
661.3449707,920
661.4976807,861
661.6503296,715
661.8030396,886
661.9556885,825
662.1083374,816
662.2609863,940
662.4136353,755
662.5662231,827
662.7188721,762
662.87146,1056
663.0240479,952
663.1766357,735
663.3292236,933
663.4818115,999
663.6343994,722
663.7869263,890
663.9395142,757
664.092041,788
664.2445679,843
664.3970947,865
664.5496216,969
664.7020874,990
664.8546143,832
665.0070801,845
665.1595459,698
665.3120117,616
665.4644775,819
665.6169434,850
665.7694092,750
665.921814,775
666.0742188,838
666.2266846,955
666.3790894,691
666.5314941,737
666.6838379,821
666.8362427,943
666.9885864,761
667.1409912,851
667.293335,862
667.4456787,882
667.5980225,693
667.7503662,724
667.9026489,761
668.0549927,785
668.2072754,901
668.3595581,796
668.5118408,912
668.6641235,832
668.8164063,842
668.968689,880
669.1209106,798
669.2731323,916
669.425354,1024
669.5776367,769
669.7297974,968
669.882019,1099
670.0342407,970
670.1864014,972
670.338562,1024
670.4907837,806
670.6429443,813
670.795105,743
670.9472046,882
671.0993652,854
671.2514648,731
671.4036255,804
671.5557251,885
671.7078247,817
671.8599243,717
672.0119629,973
672.1640625,814
672.3161011,708
672.4682007,910
672.6202393,898
672.7722778,960
672.9243164,723
673.0762939,732
673.2283325,931
673.3803101,735
673.5322876,768
673.6843262,875
673.8363037,860
673.9882202,697
674.1401978,843
674.2921753,700
674.4440918,743
674.5960083,816
674.7479248,658
674.8998413,851
675.0517578,1058
675.2036743,761
675.3555298,840
675.5074463,635
675.6593018,889
675.8111572,783
675.9630127,616
676.1148682,700
676.2666626,689
676.4185181,706
676.5703125,687
676.722168,772
676.8739624,872
677.0257568,816
677.1774902,703
677.3292847,869
677.4810181,752
677.6328125,724
677.7845459,670
677.9362793,707
678.0880127,898
678.2397461,684
678.3914185,886
678.5431519,671
678.6948242,743
678.8464966,657
678.9981689,816
679.1498413,711
679.3015137,803
679.453186,745
679.6047974,702
679.7564087,694
679.90802,835
680.0596313,825
680.2112427,814
680.362854,783
680.5144653,663
680.6660156,673
680.8175659,744
680.9691162,911
681.1206665,759
681.2722168,823
681.4237671,870
681.5753174,858
681.7268066,793
681.8782959,777
682.0297852,767
682.1812744,747
682.3327637,831
682.4842529,944
682.6356812,702
682.7871704,745
682.9385986,545
683.0900269,725
683.2414551,670
683.3928833,699
683.5442505,740
683.6956787,756
683.8470459,758
683.9984131,711
684.1498413,635
684.3011475,768
684.4525146,794
684.6038818,743
684.755188,685
684.9065552,741
685.0578613,814
685.2091675,623
685.3604736,705
685.5117188,686
685.6630249,746
685.8143311,699
685.9655762,729
686.1168213,738
686.2680664,681
686.4193115,591
686.5705566,923
686.7217407,670
686.8729858,661
687.0241699,786
687.175354,721
687.3265381,663
687.4777222,591
687.6288452,678
687.7800293,713
687.9311523,812
688.0823364,749
688.2334595,723
688.3845825,757
688.5357056,818
688.6867676,724
688.8378906,744
688.9889526,629
689.1400146,782
689.2910767,811
689.4421387,680
689.5932007,758
689.7442627,730
689.8952637,769
690.0462646,775
690.1973267,770
690.3483276,781
690.4993286,751
690.6502686,686
690.8012695,801
690.9522095,707
691.1032104,714
691.2541504,651
691.4050903,855
691.5560303,686
691.7069092,689
691.8578491,739
692.008728,855
692.159668,729
692.3105469,643
692.4614258,746
692.6123047,655
692.7631226,717
692.9140015,772
693.0648193,653
693.2156372,653
693.3664551,721
693.5172729,676
693.6680908,716
693.8189087,848
693.9696655,820
694.1204834,620
694.2712402,716
694.4219971,860
694.5727539,694
694.7235107,724
694.8742065,644
695.0249634,546
695.1756592,768
695.326355,765
695.4770508,636
695.6277466,696
695.7784424,685
695.9290771,742
696.0797729,630
696.2304077,722
696.3810425,634
696.5316772,740
696.682312,573
696.8328857,713
696.9835205,681
697.1340942,657
697.284729,540
697.4353027,692
697.5858765,740
697.7363892,752
697.8869629,690
698.0375366,620
698.1880493,856
698.338562,624
698.4890747,716
698.6395874,621
698.7901001,626
698.9405518,712
699.0910645,700
699.2415161,666
699.3919678,698
699.5424194,643
699.6928711,644
699.8433228,718
699.9937134,831
700.144165,587
700.2945557,681
700.4449463,628
700.5953369,537
700.7457275,701
700.8961182,661
701.0464478,612
701.1967773,714
701.347168,672
701.4974976,752
701.6478271,750
701.7980957,640
701.9484253,765
702.0986938,618
702.2490234,784
702.399292,745
702.5495605,552
702.6998291,742
702.8500977,671
703.0003052,598
703.1505737,592
703.3007813,708
703.4509888,823
703.6011963,639
703.7514038,675
703.9015503,786
704.0517578,804
704.2019043,617
704.3521118,589
704.5022583,603
704.6524048,717
704.8024902,688
704.9526367,564
705.1027222,560
705.2528687,793
705.4029541,724
705.5530396,724
705.703125,592
705.8532104,642
706.0032349,666
706.1533203,722
706.3033447,862
706.4533691,710
706.6033936,607
706.753418,721
706.9033813,647
707.0534058,679
707.2033691,785
707.3533936,759
707.5033569,510
707.6533203,651
707.8032227,687
707.953186,656
708.1031494,777
708.2530518,571
708.4029541,573
708.5528564,717
708.7027588,804
708.8526611,716
709.0025024,613
709.1524048,634
709.3022461,614
709.4520874,686
709.6019287,732
709.75177,668
709.9016113,657
710.0513916,627
710.2011719,689
710.3510132,616
710.5007935,752
710.6505737,612
710.800293,649
710.9500732,634
711.0998535,592
711.2495728,758
711.399292,786
711.5490112,668
711.6987305,845
711.8484497,808
711.9981079,671
712.1478271,689
712.2974854,692
712.4471436,730
712.5968018,818
712.74646,639
712.8961182,738
713.0457153,774
713.1953125,731
713.3449707,735
713.4945679,605
713.644165,797
713.7937012,663
713.9432983,697
714.0928345,693
714.2424316,714
714.3919678,676
714.5415039,755
714.69104,720
714.8405151,616
714.9900513,639
715.1395264,678
715.2890625,599
715.4385376,760
715.5880127,648
715.7374268,713
715.8869019,563
716.036377,783
716.185791,632
716.3352051,708
716.4846191,608
716.6340332,645
716.7834473,647
716.9328003,734
717.0822144,944
717.2315674,780
717.3809204,592
717.5302734,641
717.6796265,621
717.8289795,678
717.9782715,642
718.1276245,644
718.2769165,660
718.4262085,542
718.5755005,667
718.7247925,723
718.8740234,694
719.0233154,542
719.1725464,575
719.3217773,595
719.4710083,725
719.6202393,671
719.7694702,655
719.9186401,641
720.0678711,683
720.217041,750
720.3662109,669
720.5153809,707
720.6645508,598
720.8136597,573
720.9628296,613
721.1119385,770
721.2610474,647
721.4101563,749
721.5592651,750
721.708374,772
721.8574829,587
722.0065308,571
722.1555786,604
722.3046265,641
722.4536743,616
722.6027222,673
722.75177,591
722.9007568,628
723.0498047,668
723.1987915,740
723.3477783,760
723.4967651,709
723.645752,608
723.7946777,604
723.9436646,716
724.0925903,640
724.2415161,746
724.3904419,684
724.5393677,678
724.6882935,912
724.8371582,780
724.9860229,743
725.1349487,742
725.2838135,621
725.4326782,712
725.5814819,794
725.7303467,767
725.8791504,589
726.0280151,710
726.1768188,716
726.3256226,845
726.4744263,687
726.6231689,636
726.7719727,737
726.9207153,728
727.069519,576
727.2182617,649
727.3670044,700
727.515686,738
727.6644287,528
727.8131104,746
727.961853,642
728.1105347,668
728.2592163,665
728.4078979,666
728.5565796,653
728.7052002,631
728.8538208,680
729.0025024,734
729.151123,881
729.2997437,736
729.4483643,795
729.5969238,596
729.7455444,737
729.894104,676
730.0426636,604
730.1912231,663
730.3397827,604
730.4883423,740
730.6368408,612
730.7854004,618
730.9338989,753
731.0823975,766
731.230896,700
731.3793945,796
731.527832,783
731.6763306,636
731.8247681,637
731.9732056,714
732.1216431,706
732.2700806,731
732.4185181,810
732.5669556,744
732.715332,733
732.8637085,577
733.012085,625
733.1604614,683
733.3088379,600
733.4572144,678
733.6055298,732
733.7538452,784
733.9022217,675
734.0505371,642
734.1988525,649
734.3471069,646
734.4954224,778
734.6436768,709
734.7919312,709
734.9402466,572
735.0884399,677
735.2366943,681
735.3849487,634
735.5331421,422
735.6813965,740
735.8295898,698
735.9777832,526
736.1259766,671
736.2741089,569
736.4223022,674
736.5704346,641
736.7186279,615
736.8667603,671
737.0148926,612
737.1629639,621
737.3110962,614
737.4592285,757
737.6072998,1061
737.7553711,596
737.9034424,756
738.0515137,619
738.199585,626
738.3475952,612
738.4956055,676
738.6436768,634
738.791687,759
738.9396973,669
739.0876465,636
739.2356567,720
739.383667,647
739.5316162,687
739.6795654,676
739.8275146,566
739.9754639,698
740.1234131,697
740.2713013,661
740.4191895,738
740.5671387,689
740.7150269,645
740.862915,660
741.0107422,598
741.1586304,821
741.3064575,578
741.4543457,838
741.6021729,692
741.75,691
741.8978271,652
742.0455933,823
742.1934204,825
742.3411865,734
742.4889526,615
742.6367188,770
742.7844849,707
742.932251,776
743.0800171,625
743.2277222,589
743.3754272,717
743.5231323,695
743.6708374,712
743.8185425,768
743.9662476,648
744.1138916,662
744.2615967,783
744.4092407,664
744.5568848,798
744.7045288,636
744.8521118,617
744.9997559,749
745.1473389,486
745.2949829,707
745.4425659,834
745.5901489,586
745.7377319,740
745.8852539,735
746.0328369,753
746.1803589,671
746.3278809,667
746.4754028,774
746.6229248,649
746.7704468,666
746.9179077,621
747.0654297,581
747.2128906,583
747.3603516,590
747.5078125,679
747.6552124,780
747.8026733,772
747.9500732,575
748.0975342,753
748.2449341,707
748.392334,638
748.5397339,754
748.6870728,859
748.8344727,580
748.9818115,779
749.1291504,681
749.2764893,747
749.4238281,655
749.571167,796
749.7185059,627
749.8657837,686
750.0130615,629
750.1603394,535
750.3076172,620
750.454895,673
750.6021729,571
750.7493896,694
750.8966064,707
751.0438843,738
751.1911011,644
751.3382568,517
751.4854736,755
751.6326904,829
751.7798462,595
751.927002,584
752.0741577,618
752.2213135,657
752.3684692,674
752.515625,623
752.6627197,764
752.8098145,753
752.9569092,616
753.1040039,553
753.2510986,633
753.3981934,644
753.5452271,714
753.6923218,632
753.8393555,668
753.9863892,662
754.1334229,674
754.2803955,537
754.4274292,682
754.5744019,766
754.7214355,561
754.8684082,937
755.0153809,722
755.1622925,755
755.3092651,711
755.4561768,822
755.6031494,638
755.750061,769
755.8969727,729
756.0438843,759
756.1907349,667
756.3376465,705
756.4844971,620
756.6313477,832
756.7781982,711
756.9250488,697
757.0718994,652
757.218689,668
757.3655396,686
757.5123291,633
757.6591187,632
757.8059082,512
757.9526978,728
758.0994263,735
758.2462158,788
758.3929443,646
758.5396729,650
758.6864014,708
758.8331299,705
758.9798584,718
759.1265259,743
759.2732544,669
759.4199219,746
759.5665894,652
759.7132568,783
759.8598633,699
760.0065308,638
760.1531372,665
760.2998047,708
760.4464111,763
760.5930176,775
760.739563,685
760.8861694,616
761.0327759,846
761.1793213,749
761.3258667,623
761.4724121,616
761.6189575,586
761.7654419,741
761.9119873,592
762.0584717,655
762.2049561,640
762.3514404,763
762.4979248,720
762.6444092,684
762.7908936,603
762.9373169,550
763.0837402,709
763.2301636,758
763.3765869,630
763.5230103,559
763.6694336,593
763.8157959,606
763.9621582,857
764.1085205,663
764.2548828,809
764.4012451,672
764.5476074,651
764.6939087,838
764.840271,703
764.9865723,618
765.1328735,608
765.2791748,781
765.425415,769
765.5717163,803
765.7179565,779
765.8642578,664
766.010498,784
766.1567383,642
766.3029175,649
766.4491577,705
766.5953369,672
766.7415771,670
766.8877563,607
767.0339355,508
767.1800537,630
767.3262329,630
767.4724121,623
767.6185303,597
767.7646484,692
767.9107666,615
768.0568848,767
768.2029419,717
768.3490601,730
768.4951172,638
768.6412354,723
768.7872925,731
768.9332886,702
769.0793457,833
769.2254028,623
769.3713989,769
769.517395,621
769.6633911,705
769.8093872,638
769.9553833,643
770.1013794,578
770.2473145,504
770.3933105,684
770.5392456,681
770.6851807,631
770.8310547,683
770.9769897,754
771.1229248,672
771.2687988,718
771.4146729,677
771.5605469,793
771.7064209,749
771.8522949,574
771.9981079,657
772.1439209,620
772.2897949,658
772.4356079,648
772.5814209,571
772.7271729,684
772.8729858,586
773.0187378,679
773.1645508,630
773.3103027,867
773.4560547,662
773.6017456,695
773.7474976,719
773.8931885,719
774.0389404,803
774.1846313,783
774.3303223,683
774.4760132,705
774.6216431,571
774.767334,673
774.9129639,667
775.0585938,699
775.2042236,728
775.3498535,677
775.4954834,696
775.6410522,637
775.7866821,667
775.932251,598
776.0778198,674
776.2233887,1124
776.3688965,802
776.5144653,593
776.6599731,617
776.805542,653
776.9510498,848
777.0965576,593
777.2420044,568
777.3875122,776
777.532959,780
777.6784668,834
777.8239136,748
777.9693604,562
778.1148071,802
778.2601929,664
778.4056396,609
778.5510254,658
778.6964111,659
778.8417969,693
778.9871826,706
779.1325684,658
779.2778931,743
779.4232178,571
779.5686035,692
779.7139282,719
779.8592529,717
780.0045166,703
780.1498413,557
780.295105,556
780.4403687,705
780.5856323,728
780.730896,549
780.8761597,654
781.0214233,648
781.166626,798
781.3118286,620
781.4570313,604
781.6022339,743
781.7474365,720
781.8926392,691
782.0377808,620
782.1829224,696
782.328125,721
782.4732056,726
782.6183472,673
782.7634888,646
782.9085693,624
783.0537109,650
783.1987915,695
783.3438721,634
783.4889526,669
783.6339722,650
783.7790527,641
783.9240723,665
784.0690918,575
784.2141113,664
784.3591309,619
784.5041504,614
784.6491089,664
784.7941284,789
784.9390869,536
785.0840454,575
785.2290039,763
785.3739624,488
785.5188599,706
785.6638184,778
785.8087158,589
785.9536133,679
786.0985107,714
786.2434082,603
786.3882446,689
786.5331421,654
786.6779785,715
786.8228149,733
786.9676514,571
787.1124878,740
787.2572632,649
787.4020996,677
787.546875,758
787.6916504,557
787.8364258,836
787.9812012,742
788.1259766,678
788.2706909,607
788.4154053,770
788.5601807,748
788.704895,741
788.8495483,661
788.9942627,697
789.1389771,733
789.2836304,856
789.4282837,714
789.572937,686
789.7175903,776
789.8622437,688
790.0068359,820
790.1514893,677
790.2960815,779
790.4406738,560
790.5852661,586
790.7297974,634
790.8743896,740
791.0189209,637
791.1635132,536
791.3080444,759
791.4525757,619
791.5970459,592
791.7415771,566
791.8860474,638
792.0305786,671
792.1750488,545
792.319519,696
792.4639282,581
792.6083984,787
792.7528076,463
792.8972778,644
793.041687,806
793.1860962,782
793.3305054,793
793.4748535,559
793.6192627,612
793.7636108,707
793.907959,661
794.0523071,696
794.1966553,683
794.3409424,754
794.4852905,703
794.6295776,754
794.7738647,764
794.9181519,753
795.062439,625
795.2067261,583
795.3509521,823
795.4952393,714
795.6394653,622
795.7836914,638
795.9279175,651
796.0720825,637
796.2163086,609
796.3604736,593
796.5046387,669
796.6488037,665
796.7929688,622
796.9371338,686
797.0812988,790
797.2254028,604
797.3695068,652
797.5136108,747
797.6577148,723
797.8018188,725
797.9458618,602
798.0899658,698
798.2340088,767
798.3780518,643
798.5220947,642
798.6661377,595
798.8101196,761
798.9541626,709
799.0981445,853
799.2421265,695
799.3861084,627
799.5300903,810
799.6740112,620
799.8179932,632
799.9619141,651
800.105835,807
800.2497559,663
800.3936768,614
800.5375366,650
800.6814575,645
800.8253174,791
800.9691772,705
801.1130371,681
801.256897,745
801.4006958,606
801.5445557,709
801.6883545,748
801.8321533,680
801.9759521,582
802.119751,607
802.2635498,718
802.4072876,750
802.5510254,674
802.6947632,599
802.838501,739
802.9822388,695
803.1259766,605
803.2696533,695
803.4133911,915
803.5570679,745
803.7007446,829
803.8444214,550
803.9880371,801
804.1317139,599
804.2753296,692
804.4189453,750
804.562561,579
804.7061768,732
804.8497925,649
804.9933472,746
805.1369019,767
805.2805176,735
805.4240723,674
805.5675659,608
805.7111206,721
805.8546753,593
805.9981689,729
806.1416626,721
806.2851563,694
806.4286499,736
806.5721436,664
806.7155762,660
806.8590698,522
807.0025024,593
807.1459351,804
807.2893677,686
807.4327393,606
807.5761719,515
807.7195435,652
807.862915,660
808.0062866,707
808.1496582,805
808.2930298,699
808.4363403,686
808.5797119,624
808.7230225,647
808.866333,522
809.0096436,767
809.1529541,673
809.2962036,640
809.4394531,711
809.5827637,681
809.7260132,897
809.8692627,542
810.0124512,642
810.1557007,589
810.2988892,832
810.4420776,736
810.5852661,563
810.7284546,611
810.8716431,714
811.0148315,670
811.157959,680
811.3010864,713
811.4442139,779
811.5873413,729
811.7304688,593
811.8735352,624
812.0166626,816
812.159729,811
812.3027954,694
812.4458618,694
812.5889282,732
812.7319336,860
812.875,649
813.0180054,601
813.1610107,567
813.3040161,756
813.4469604,734
813.5899658,590
813.7329102,582
813.8759155,691
814.0188599,654
814.1618042,661
814.3046875,707
814.4476318,731
814.5905151,653
814.7333984,741
814.8762817,580
815.019165,659
815.1620483,689
815.3049316,754
815.4477539,722
815.5905762,630
815.7333984,623
815.8762207,642
816.019043,543
816.1618042,741
816.3046265,607
816.4473877,525
816.5901489,747
816.7329102,661
816.8756714,658
817.0183716,545
817.1611328,768
817.303833,563
817.4465332,660
817.5892334,745
817.7319336,908
817.8745728,718
818.0172119,767
818.1599121,678
818.3025513,748
818.4451904,478
818.5877686,741
818.7304077,587
818.8729858,821
819.015625,744
819.1582031,605
819.3007202,694
819.4432983,773
819.5858765,714
819.7283936,550
819.8709106,682
820.0134277,743
820.1559448,670
820.2984619,617
820.440918,741
820.5834351,757
820.7258911,593
820.8683472,703
821.0108032,646
821.1532593,746
821.2956543,818
821.4381104,618
821.5805054,721
821.7229004,731
821.8652954,767
822.0076294,695
822.1500244,681
822.2923584,894
822.4346924,583
822.5770264,713
822.7193604,699
822.8616943,728
823.0040283,771
823.1463013,657
823.2885742,544
823.4308472,783
823.5731201,670
823.7153931,607
823.857605,728
823.9998779,774
824.1420898,719
824.2843018,607
824.4265137,741
824.5686646,716
824.7108765,755
824.8530273,669
824.9951782,721
825.1373291,758
825.27948,670
825.4216309,661
825.5637207,664
825.7058716,620
825.8479614,577
825.9900513,839
826.1321411,710
826.2741699,638
826.4162598,692
826.5582886,816
826.7003174,671
826.8423462,655
826.984375,739
827.1264038,708
827.2683716,796
827.4103394,783
827.5523682,827
827.6943359,611
827.8362427,800
827.9782104,672
828.1201172,673
828.262085,657
828.4039917,591
828.5458984,724
828.6878052,666
828.8296509,702
828.9715576,672
829.1134033,655
829.255249,626
829.3970947,555
829.5389404,787
829.6807861,582
829.8225708,729
829.9643555,767
830.1061401,699
830.2479248,763
830.3897095,743
830.5314941,668
830.6732178,811
830.8149414,783
830.956665,791
831.0983887,651
831.2401123,842
831.3818359,717
831.5234985,591
831.6651611,533
831.8068237,615
831.9484863,749
832.0901489,780
832.2318115,689
832.3734131,788
832.5150146,683
832.6566162,660
832.7982178,812
832.9398193,694
833.0813599,792
833.2229614,849
833.364502,618
833.5060425,652
833.647583,651
833.7891235,724
833.930603,760
834.0721436,739
834.213623,752
834.3551025,853
834.496582,638
834.6380005,676
834.77948,639
834.9208984,650
835.0623169,526
835.2037354,677
835.3451538,706
835.4865723,849
835.6279297,579
835.7693481,593
835.9107056,584
836.052063,817
836.1934204,628
836.3347168,729
836.4760742,728
836.6173706,824
836.758667,778
836.8999634,818
837.0412598,664
837.1825562,688
837.3237915,676
837.4650269,597
837.6063232,709
837.7474976,600
837.8887329,646
838.0299683,608
838.1711426,622
838.3123779,658
838.4535522,792
838.5947266,667
838.7358398,706
838.8770142,627
839.0181274,725
839.1593018,698
839.300415,561
839.4415283,841
839.5825806,673
839.7236938,696
839.8647461,659
840.0057983,746
840.1469116,772
840.2879028,762
840.4289551,626
840.5700073,817
840.7109985,657
840.8519897,736
840.992981,675
841.1339722,657
841.2749634,778
841.4158936,764
841.5568848,820
841.6978149,609
841.8387451,584
841.9796753,775
842.1205444,730
842.2614746,588
842.4023438,646
842.5432129,732
842.684082,627
842.8249512,617
842.9658203,814
843.1066284,655
843.2474365,768
843.3883057,589
843.5291138,776
843.6698608,597
843.8106689,619
843.951416,578
844.0922241,758
844.2329712,664
844.3737183,838
844.5144043,687
844.6551514,633
844.7958374,687
844.9365845,648
845.0772705,659
845.2179565,547
845.3585815,704
845.4992676,705
845.6398926,790
845.7805176,687
845.9211426,655
846.0617676,674
846.2023926,664
846.3430176,805
846.4835815,611
846.6241455,763
846.7647095,685
846.9052734,850
847.0458374,670
847.1863403,747
847.3268433,695
847.4674072,764
847.6079102,757
847.7483521,561
847.888855,757
848.0292969,683
848.1697998,594
848.3102417,644
848.4506836,632
848.5911255,690
848.7315063,605
848.8719482,631
849.0123291,710
849.15271,672
849.2930908,583
849.4334717,790
849.5737915,697
849.7141724,627
849.8544922,532
849.994812,793
850.1351318,641
850.2754517,554
850.4157104,625
850.5559692,666
850.6962891,846
850.8365479,694
850.9767456,693
851.1170044,758
851.2572632,883
851.3974609,665
851.5376587,1451
851.6778564,736
851.8180542,669
851.958252,635
852.0983887,592
852.2385254,621
852.3787231,664
852.5187988,668
852.6589355,625
852.7990723,676
852.9391479,574
853.0792847,592
853.2193604,730
853.359436,858
853.4994507,640
853.6395264,711
853.779541,712
853.9196167,591
854.0596313,787
854.199585,780
854.3395996,753
854.4796143,744
854.6195679,709
854.7595215,663
854.8994751,604
855.0394287,640
855.1793823,628
855.3192749,664
855.4592285,619
855.5991211,592
855.7390137,624
855.8789063,560
856.0187378,854
856.1586304,753
856.2984619,622
856.4382935,708
856.578125,728
856.7179565,709
856.8577271,666
856.9975586,663
857.1373291,648
857.2770996,676
857.4168701,774
857.5566406,811
857.6963501,585
857.8361206,682
857.9758301,620
858.1155396,769
858.255249,655
858.3948975,768
858.5346069,779
858.6742554,652
858.8139038,632
858.9535522,791
859.0932007,642
859.2328491,577
859.3724365,754
859.512085,774
859.6516724,729
859.7912598,667
