lambda,b
595.8353271,779
595.9915771,526
596.1478882,668
596.3041382,689
596.4603882,710
596.6165771,679
596.7728271,763
596.9290161,674
597.0852661,716
597.2414551,635
597.397644,695
597.553833,693
597.710022,743
597.8662109,632
598.0223389,707
598.1785278,583
598.3346558,640
598.4907837,675
598.6469116,652
598.8030396,733
598.9591675,793
599.1152954,660
599.2713623,707
599.4274902,704
599.5835571,520
599.739624,586
599.8956909,688
600.0517578,715
600.2078247,598
600.3638306,652
600.5198975,683
600.6759033,752
600.8319092,760
600.987915,769
601.1439209,732
601.2999268,795
601.4558716,766
601.6118774,844
601.7678223,640
601.9237671,672
602.0797729,711
602.2356567,545
602.3916016,554
602.5475464,684
602.7034912,698
602.859375,785
603.0152588,744
603.1711426,665
603.3270264,768
603.4829102,547
603.6387939,596
603.7946777,712
603.9505005,692
604.1063843,750
604.262207,645
604.4180298,838
604.5738525,748
604.7296753,726
604.885437,639
605.0412598,732
605.1970215,675
605.3527832,598
605.508606,651
605.6643677,725
605.8200684,686
605.9758301,567
606.1315918,859
606.2872925,671
606.4429932,644
606.5987549,615
606.7544556,813
606.9101563,659
607.0657959,645
607.2214966,684
607.3771973,711
607.5328369,682
607.6884766,669
607.8441162,682
607.9997559,706
608.1553955,739
608.3110352,685
608.4666138,764
608.6222534,941
608.777832,777
608.9334106,651
609.0889893,802
609.2445679,620
609.4001465,628
609.5556641,802
609.7112427,605
609.8667603,623
610.0223389,768
610.1778564,670
610.333374,639
610.4888306,590
610.6443481,697
610.7998657,596
610.9553223,703
611.1107788,749
611.2662354,685
611.4216919,724
611.5771484,686
611.732605,623
611.8880005,786
612.043457,606
612.1988525,640
612.354248,703
612.5096436,823
612.6650391,597
612.8204346,687
612.9758301,720
613.1311646,661
613.286499,715
613.4418945,742
613.597229,615
613.7525635,700
613.9078979,690
614.0631714,631
614.2185059,583
614.3737793,717
614.5290527,744
614.6843872,697
614.8396606,835
614.994873,687
615.1501465,714
615.3054199,666
615.4606323,716
615.6158447,679
615.7711182,705
615.9263306,805
616.081543,721
616.2366943,628
616.3919067,611
616.5470581,656
616.7022705,608
616.8574219,694
617.0125732,598
617.1677246,779
617.322876,564
617.4780273,584
617.6331177,663
617.788208,643
617.9433594,667
618.0984497,730
618.25354,658
618.4086304,743
618.5636597,631
618.71875,545
618.8737793,731
619.0288696,741
619.1838989,827
619.3389282,809
619.4939575,634
619.6489868,545
619.8039551,694
619.9589844,677
620.1139526,656
620.2689209,673
620.4238892,618
620.5788574,699
620.7338257,670
620.8887939,642
621.0437012,620
621.1986694,671
621.3535767,743
621.5084839,553
621.6633911,697
621.8182983,656
621.9731445,645
622.1280518,575
622.2828979,600
622.4378052,518
622.5926514,658
622.7474976,662
622.9023438,675
623.0571289,702
623.2119751,671
623.3667603,619
623.5216064,633
623.6763916,647
623.8311768,603
623.9859619,683
624.1407471,635
624.2954712,708
624.4502563,747
624.6049805,677
624.7597046,861
624.9144287,637
625.0691528,690
625.223877,511
625.3786011,744
625.5332642,746
625.6879883,620
625.8426514,671
625.9973145,805
626.1519775,766
626.3066406,785
626.4613037,772
626.6159058,617
626.7705688,728
626.9251709,699
627.0797729,740
627.234375,820
627.3889771,678
627.5435791,668
627.6981201,523
627.8527222,868
628.0072632,742
628.1618042,745
628.3163452,786
628.4708862,623
628.6254272,686
628.7799683,705
628.9344482,612
629.0889893,711
629.2434692,779
629.3979492,631
629.5524292,690
629.7069092,830
629.8613281,617
630.0158081,659
630.1702271,721
630.324646,483
630.4790649,761
630.6334839,724
630.7879028,749
630.9423218,624
631.0967407,623
631.2510986,650
631.4054565,646
631.5598145,734
631.7141724,566
631.8685303,773
632.0228882,627
632.1771851,723
632.331543,891
632.4858398,725
632.6401367,538
632.7944336,747
632.9487305,653
633.1030273,677
633.2573242,606
633.4115601,833
633.5657959,683
633.7200928,654
633.8743286,738
634.0285645,709
634.1827393,594
634.3369751,697
634.4912109,611
634.6453857,807
634.7995605,566
634.9537354,629
635.1079102,660
635.262085,727
635.4162598,645
635.5703735,649
635.7244873,802
635.8786621,570
636.0327759,665
636.1868896,728
636.3410034,656
636.4950562,711
636.6491699,809
636.8032227,664
636.9572754,630
637.1113892,664
637.2654419,727
637.4194336,746
637.5734863,700
637.7275391,735
637.8815308,770
638.0355225,821
638.1895752,819
638.3435669,790
638.4974976,619
638.6514893,793
638.805481,664
638.9594116,729
639.1134033,805
639.267334,743
639.4212646,600
639.5751953,658
639.7290649,674
639.8829956,782
640.0368652,697
640.1907959,716
640.3446655,693
640.4985352,661
640.6524048,631
640.8062744,620
640.960083,728
641.1139526,744
641.2677612,640
641.4215698,837
641.5753784,684
641.729187,632
641.8829956,586
642.0368042,654
642.1905518,666
642.3443604,770
642.4981079,792
642.6518555,675
642.805603,677
642.9593506,675
643.1130371,653
643.2667847,646
643.4204712,703
643.5742188,562
643.7279053,659
643.8815918,740
644.0352173,707
644.1889038,701
644.3425903,713
644.4962158,735
644.6498413,704
644.8034668,765
644.9570923,624
645.1107178,676
645.2643433,659
645.4179077,882
645.5715332,706
645.7250977,744
645.8786621,762
646.0322266,773
646.185791,675
646.3393555,751
646.4928589,794
646.6464233,859
646.7999268,596
646.9534302,819
647.1069336,705
647.260437,631
647.4139404,789
647.5673828,762
647.7208862,589
647.8743286,732
648.027771,649
648.1812134,584
648.3346558,783
648.4880981,728
648.6415405,642
648.7949219,662
648.9483032,718
649.1016846,639
649.2550659,828
649.4084473,619
649.5618286,739
649.71521,725
649.8685303,599
650.0219116,636
650.1752319,835
650.3285522,617
650.4818726,702
650.6351318,707
650.7884521,642
650.9417114,659
651.0950317,606
651.248291,649
651.4015503,599
651.5548096,625
651.7080688,899
651.8612671,733
652.0145264,730
652.1677246,657
652.3209229,734
652.4741211,649
652.6273193,654
652.7805176,729
652.9337158,624
653.086853,801
653.2400513,664
653.3931885,675
653.5463257,838
653.6994629,798
653.8525391,746
654.0056763,792
654.1588135,515
654.3118896,761
654.4649658,685
654.618042,735
654.7711182,684
654.9241943,707
655.0772705,662
655.2302856,722
655.3833008,607
655.536377,742
655.6893921,583
655.8424072,659
655.9953613,855
656.1483765,787
656.3013916,689
656.4543457,683
656.6072998,701
656.7602539,667
656.913208,639
657.0661621,722
657.2191162,617
657.3720093,610
657.5249023,669
657.6778564,711
657.8307495,765
657.9836426,604
658.1364746,749
658.2893677,698
658.4422607,633
658.5950928,534
658.7479248,908
658.9007568,632
659.0535889,637
659.2064209,808
659.3592529,725
659.5120239,712
659.664856,702
659.817627,588
659.9703979,674
660.1231689,634
660.2759399,500
660.4286499,811
660.5814209,722
660.7341309,621
660.8868408,655
661.0395508,658
661.1922607,767
661.3449707,721
661.4976807,698
661.6503296,571
661.8030396,809
661.9556885,675
662.1083374,610
662.2609863,789
662.4136353,587
662.5662231,664
662.7188721,609
662.87146,833
663.0240479,754
663.1766357,525
663.3292236,750
663.4818115,724
663.6343994,628
663.7869263,773
663.9395142,624
664.092041,677
664.2445679,772
664.3970947,752
664.5496216,822
664.7020874,782
664.8546143,752
665.0070801,616
665.1595459,544
665.3120117,581
665.4644775,725
665.6169434,696
665.7694092,640
665.921814,682
666.0742188,652
666.2266846,750
666.3790894,582
666.5314941,644
666.6838379,587
666.8362427,794
666.9885864,693
667.1409912,611
667.293335,736
667.4456787,689
667.5980225,709
667.7503662,628
667.9026489,687
668.0549927,562
668.2072754,680
668.3595581,710
668.5118408,846
668.6641235,721
668.8164063,685
668.968689,672
669.1209106,601
669.2731323,699
669.425354,744
669.5776367,546
669.7297974,804
669.882019,760
670.0342407,653
670.1864014,708
670.338562,801
670.4907837,588
670.6429443,714
670.795105,560
670.9472046,794
671.0993652,640
671.2514648,578
671.4036255,647
671.5557251,704
671.7078247,545
671.8599243,580
672.0119629,917
672.1640625,663
672.3161011,638
672.4682007,768
672.6202393,762
672.7722778,872
672.9243164,559
673.0762939,579
673.2283325,804
673.3803101,671
673.5322876,648
673.6843262,709
673.8363037,721
673.9882202,694
674.1401978,721
674.2921753,598
674.4440918,670
674.5960083,634
674.7479248,681
674.8998413,768
675.0517578,915
675.2036743,671
675.3555298,677
675.5074463,554
675.6593018,826
675.8111572,737
675.9630127,577
676.1148682,558
676.2666626,651
676.4185181,581
676.5703125,596
676.722168,580
676.8739624,799
677.0257568,641
677.1774902,598
677.3292847,686
677.4810181,652
677.6328125,607
677.7845459,576
677.9362793,639
678.0880127,827
678.2397461,578
678.3914185,805
678.5431519,570
678.6948242,721
678.8464966,577
678.9981689,697
679.1498413,644
679.3015137,715
679.453186,672
679.6047974,602
679.7564087,632
679.90802,734
680.0596313,699
680.2112427,738
680.362854,633
680.5144653,582
680.6660156,581
680.8175659,553
680.9691162,753
681.1206665,742
681.2722168,727
681.4237671,784
681.5753174,810
681.7268066,738
681.8782959,737
682.0297852,823
682.1812744,636
682.3327637,747
682.4842529,853
682.6356812,622
682.7871704,657
682.9385986,606
683.0900269,639
683.2414551,554
683.3928833,677
683.5442505,798
683.6956787,663
683.8470459,705
683.9984131,667
684.1498413,636
684.3011475,691
684.4525146,659
684.6038818,750
684.755188,665
684.9065552,696
685.0578613,697
685.2091675,641
685.3604736,701
685.5117188,574
685.6630249,614
685.8143311,630
685.9655762,666
686.1168213,658
686.2680664,599
686.4193115,649
686.5705566,751
686.7217407,647
686.8729858,645
687.0241699,621
687.175354,640
687.3265381,585
687.4777222,567
687.6288452,614
687.7800293,656
687.9311523,774
688.0823364,626
688.2334595,807
688.3845825,691
688.5357056,768
688.6867676,701
688.8378906,599
688.9889526,687
689.1400146,619
689.2910767,756
689.4421387,568
689.5932007,677
689.7442627,775
689.8952637,753
690.0462646,732
690.1973267,744
690.3483276,666
690.4993286,659
690.6502686,668
690.8012695,774
690.9522095,630
691.1032104,657
691.2541504,573
691.4050903,764
691.5560303,675
691.7069092,633
691.8578491,658
692.008728,858
692.159668,588
692.3105469,587
692.4614258,710
692.6123047,739
692.7631226,647
692.9140015,646
693.0648193,695
693.2156372,557
693.3664551,733
693.5172729,615
693.6680908,639
693.8189087,747
693.9696655,776
694.1204834,608
694.2712402,641
694.4219971,741
694.5727539,707
694.7235107,682
694.8742065,542
695.0249634,564
695.1756592,690
695.326355,757
695.4770508,541
695.6277466,653
695.7784424,620
695.9290771,651
696.0797729,596
696.2304077,620
696.3810425,616
696.5316772,694
696.682312,611
696.8328857,640
696.9835205,618
697.1340942,634
697.284729,555
697.4353027,587
697.5858765,750
697.7363892,681
697.8869629,643
698.0375366,619
698.1880493,851
698.338562,635
698.4890747,748
698.6395874,655
698.7901001,649
698.9405518,675
699.0910645,705
699.2415161,618
699.3919678,701
699.5424194,568
699.6928711,623
699.8433228,650
699.9937134,767
700.144165,580
700.2945557,604
700.4449463,637
700.5953369,571
700.7457275,581
700.8961182,652
701.0464478,570
701.1967773,696
701.347168,617
701.4974976,766
701.6478271,720
701.7980957,659
701.9484253,612
702.0986938,678
702.2490234,739
702.399292,614
702.5495605,619
702.6998291,698
702.8500977,681
703.0003052,529
703.1505737,575
703.3007813,631
703.4509888,699
703.6011963,638
703.7514038,590
703.9015503,727
704.0517578,733
704.2019043,561
704.3521118,637
704.5022583,689
704.6524048,637
704.8024902,640
704.9526367,540
705.1027222,598
705.2528687,810
705.4029541,638
705.5530396,556
705.703125,594
705.8532104,673
706.0032349,549
706.1533203,743
706.3033447,774
706.4533691,717
706.6033936,646
706.753418,702
706.9033813,649
707.0534058,597
707.2033691,724
707.3533936,679
707.5033569,507
707.6533203,662
707.8032227,660
707.953186,720
708.1031494,777
708.2530518,545
708.4029541,547
708.5528564,650
708.7027588,794
708.8526611,722
709.0025024,628
709.1524048,575
709.3022461,533
709.4520874,669
709.6019287,699
709.75177,556
709.9016113,657
710.0513916,600
710.2011719,712
710.3510132,607
710.5007935,734
710.6505737,622
710.800293,606
710.9500732,658
711.0998535,579
711.2495728,667
711.399292,823
711.5490112,677
711.6987305,835
711.8484497,687
711.9981079,687
712.1478271,693
712.2974854,750
712.4471436,765
712.5968018,683
712.74646,625
712.8961182,616
713.0457153,745
713.1953125,708
713.3449707,699
713.4945679,660
713.644165,754
713.7937012,646
713.9432983,778
714.0928345,645
714.2424316,636
714.3919678,685
714.5415039,777
714.69104,697
714.8405151,622
714.9900513,664
715.1395264,588
715.2890625,662
715.4385376,818
715.5880127,593
715.7374268,666
715.8869019,578
716.036377,779
716.185791,661
716.3352051,674
716.4846191,545
716.6340332,591
716.7834473,725
716.9328003,686
717.0822144,937
717.2315674,786
717.3809204,687
717.5302734,710
717.6796265,639
717.8289795,684
717.9782715,677
718.1276245,695
718.2769165,593
718.4262085,561
718.5755005,668
718.7247925,750
718.8740234,709
719.0233154,560
719.1725464,508
719.3217773,586
719.4710083,687
719.6202393,620
719.7694702,594
719.9186401,646
720.0678711,731
720.217041,675
720.3662109,662
720.5153809,739
720.6645508,653
720.8136597,543
720.9628296,617
721.1119385,659
721.2610474,615
721.4101563,724
721.5592651,729
721.708374,796
721.8574829,583
722.0065308,615
722.1555786,612
722.3046265,684
722.4536743,626
722.6027222,643
722.75177,611
722.9007568,596
723.0498047,660
723.1987915,741
723.3477783,751
723.4967651,645
723.645752,696
723.7946777,664
723.9436646,690
724.0925903,605
724.2415161,818
724.3904419,658
724.5393677,708
724.6882935,821
724.8371582,706
724.9860229,867
725.1349487,671
725.2838135,618
725.4326782,608
725.5814819,799
725.7303467,745
725.8791504,567
726.0280151,751
726.1768188,726
726.3256226,799
726.4744263,678
726.6231689,711
726.7719727,705
726.9207153,749
727.069519,603
727.2182617,651
727.3670044,649
727.515686,726
727.6644287,540
727.8131104,709
727.961853,727
728.1105347,620
728.2592163,591
728.4078979,582
728.5565796,644
728.7052002,739
728.8538208,676
729.0025024,727
729.151123,867
729.2997437,684
729.4483643,735
729.5969238,636
729.7455444,637
729.894104,693
730.0426636,582
730.1912231,687
730.3397827,772
730.4883423,658
730.6368408,692
730.7854004,589
730.9338989,683
731.0823975,736
731.230896,725
731.3793945,812
731.527832,826
731.6763306,641
731.8247681,580
731.9732056,684
732.1216431,614
732.2700806,803
732.4185181,804
732.5669556,684
732.715332,816
732.8637085,611
733.012085,617
733.1604614,750
733.3088379,654
733.4572144,670
733.6055298,589
733.7538452,780
733.9022217,679
734.0505371,661
734.1988525,645
734.3471069,652
734.4954224,760
734.6436768,731
734.7919312,698
734.9402466,600
735.0884399,576
735.2366943,706
735.3849487,591
735.5331421,435
735.6813965,736
735.8295898,674
735.9777832,559
736.1259766,607
736.2741089,533
736.4223022,698
736.5704346,577
736.7186279,663
736.8667603,663
737.0148926,674
737.1629639,681
737.3110962,648
737.4592285,769
737.6072998,983
737.7553711,669
737.9034424,694
738.0515137,642
738.199585,616
738.3475952,631
738.4956055,628
738.6436768,647
738.791687,679
738.9396973,658
739.0876465,581
739.2356567,700
739.383667,635
739.5316162,679
739.6795654,645
739.8275146,610
739.9754639,690
740.1234131,637
740.2713013,587
740.4191895,726
740.5671387,679
740.7150269,647
740.862915,654
741.0107422,657
741.1586304,803
741.3064575,577
741.4543457,825
741.6021729,701
741.75,742
741.8978271,655
742.0455933,792
742.1934204,906
742.3411865,694
742.4889526,615
742.6367188,725
742.7844849,646
742.932251,701
743.0800171,541
743.2277222,609
743.3754272,776
743.5231323,669
743.6708374,696
743.8185425,714
743.9662476,628
744.1138916,652
744.2615967,818
744.4092407,632
744.5568848,759
744.7045288,640
744.8521118,606
744.9997559,719
745.1473389,534
745.2949829,733
745.4425659,852
745.5901489,669
745.7377319,743
745.8852539,783
746.0328369,708
746.1803589,634
746.3278809,664
746.4754028,679
746.6229248,717
746.7704468,628
746.9179077,645
747.0654297,618
747.2128906,545
747.3603516,620
747.5078125,648
747.6552124,744
747.8026733,699
747.9500732,486
748.0975342,694
748.2449341,680
748.392334,626
748.5397339,751
748.6870728,795
748.8344727,567
748.9818115,658
749.1291504,675
749.2764893,657
749.4238281,617
749.571167,743
749.7185059,711
749.8657837,635
750.0130615,652
750.1603394,610
750.3076172,587
750.454895,609
750.6021729,617
750.7493896,650
750.8966064,741
751.0438843,731
751.1911011,646
751.3382568,542
751.4854736,755
751.6326904,900
751.7798462,661
751.927002,663
752.0741577,597
752.2213135,745
752.3684692,684
752.515625,650
752.6627197,747
752.8098145,640
752.9569092,710
753.1040039,622
753.2510986,579
753.3981934,645
753.5452271,680
753.6923218,661
753.8393555,639
753.9863892,601
754.1334229,676
754.2803955,542
754.4274292,680
754.5744019,703
754.7214355,580
754.8684082,850
755.0153809,691
755.1622925,724
755.3092651,653
755.4561768,816
755.6031494,611
755.750061,723
755.8969727,742
756.0438843,728
756.1907349,648
756.3376465,713
756.4844971,539
756.6313477,767
756.7781982,726
756.9250488,814
757.0718994,626
757.218689,637
757.3655396,701
757.5123291,593
757.6591187,585
757.8059082,495
757.9526978,718
758.0994263,714
758.2462158,780
758.3929443,528
758.5396729,679
758.6864014,727
758.8331299,639
758.9798584,754
759.1265259,758
759.2732544,691
759.4199219,627
759.5665894,535
759.7132568,739
759.8598633,683
760.0065308,643
760.1531372,565
760.2998047,653
760.4464111,743
760.5930176,791
760.739563,659
760.8861694,680
761.0327759,846
761.1793213,707
761.3258667,583
761.4724121,623
761.6189575,610
761.7654419,637
761.9119873,647
762.0584717,615
762.2049561,745
762.3514404,669
762.4979248,740
762.6444092,677
762.7908936,657
762.9373169,624
763.0837402,692
763.2301636,704
763.3765869,682
763.5230103,578
763.6694336,588
763.8157959,594
763.9621582,862
764.1085205,643
764.2548828,753
764.4012451,632
764.5476074,655
764.6939087,789
764.840271,657
764.9865723,646
765.1328735,592
765.2791748,701
765.425415,692
765.5717163,710
765.7179565,771
765.8642578,632
766.010498,716
766.1567383,648
766.3029175,589
766.4491577,737
766.5953369,674
766.7415771,774
766.8877563,588
767.0339355,464
767.1800537,564
767.3262329,539
767.4724121,587
767.6185303,586
767.7646484,732
767.9107666,680
768.0568848,649
768.2029419,677
768.3490601,581
768.4951172,608
768.6412354,654
768.7872925,742
768.9332886,730
769.0793457,800
769.2254028,562
769.3713989,687
769.517395,489
769.6633911,665
769.8093872,582
769.9553833,695
770.1013794,541
770.2473145,586
770.3933105,714
770.5392456,699
770.6851807,615
770.8310547,686
770.9769897,795
771.1229248,739
771.2687988,743
771.4146729,669
771.5605469,753
771.7064209,741
771.8522949,619
771.9981079,707
772.1439209,638
772.2897949,674
772.4356079,760
772.5814209,561
772.7271729,657
772.8729858,591
773.0187378,593
773.1645508,678
773.3103027,944
773.4560547,608
773.6017456,641
773.7474976,714
773.8931885,669
774.0389404,756
774.1846313,680
774.3303223,628
774.4760132,721
774.6216431,610
774.767334,734
774.9129639,614
775.0585938,730
775.2042236,722
775.3498535,655
775.4954834,633
775.6410522,591
775.7866821,699
775.932251,643
776.0778198,707
776.2233887,1108
776.3688965,791
776.5144653,611
776.6599731,621
776.805542,643
776.9510498,822
777.0965576,633
777.2420044,613
777.3875122,710
777.532959,817
777.6784668,817
777.8239136,810
777.9693604,586
778.1148071,719
778.2601929,728
778.4056396,680
778.5510254,629
778.6964111,571
778.8417969,721
778.9871826,644
779.1325684,694
779.2778931,736
779.4232178,683
779.5686035,724
779.7139282,720
779.8592529,709
780.0045166,712
780.1498413,529
780.295105,584
780.4403687,646
780.5856323,720
780.730896,616
780.8761597,660
781.0214233,744
781.166626,847
781.3118286,622
781.4570313,650
781.6022339,814
781.7474365,662
781.8926392,639
782.0377808,601
782.1829224,661
782.328125,737
782.4732056,673
782.6183472,615
782.7634888,646
782.9085693,612
783.0537109,682
783.1987915,744
783.3438721,677
783.4889526,617
783.6339722,586
783.7790527,609
783.9240723,700
784.0690918,606
784.2141113,648
784.3591309,675
784.5041504,602
784.6491089,618
784.7941284,745
784.9390869,536
785.0840454,685
785.2290039,759
785.3739624,471
785.5188599,626
785.6638184,672
785.8087158,582
785.9536133,671
786.0985107,641
786.2434082,561
786.3882446,686
786.5331421,725
786.6779785,715
786.8228149,730
786.9676514,568
787.1124878,781
787.2572632,740
787.4020996,713
787.546875,767
787.6916504,616
787.8364258,658
787.9812012,702
788.1259766,726
788.2706909,591
788.4154053,774
788.5601807,791
788.704895,747
788.8495483,655
788.9942627,657
789.1389771,777
789.2836304,793
789.4282837,683
789.572937,601
789.7175903,756
789.8622437,798
790.0068359,876
790.1514893,673
790.2960815,730
790.4406738,650
790.5852661,517
790.7297974,642
790.8743896,688
791.0189209,607
791.1635132,589
791.3080444,886
791.4525757,617
791.5970459,616
791.7415771,529
791.8860474,600
792.0305786,605
792.1750488,550
792.319519,650
792.4639282,634
792.6083984,710
792.7528076,572
792.8972778,613
793.041687,689
793.1860962,713
793.3305054,737
793.4748535,620
793.6192627,606
793.7636108,796
793.907959,680
794.0523071,678
794.1966553,610
794.3409424,823
794.4852905,702
794.6295776,810
794.7738647,753
794.9181519,795
795.062439,645
795.2067261,577
795.3509521,807
795.4952393,774
795.6394653,643
795.7836914,672
795.9279175,650
796.0720825,619
796.2163086,607
796.3604736,665
796.5046387,696
796.6488037,709
796.7929688,691
796.9371338,741
797.0812988,744
797.2254028,640
797.3695068,758
797.5136108,727
797.6577148,652
797.8018188,624
797.9458618,606
798.0899658,729
798.2340088,835
798.3780518,684
798.5220947,724
798.6661377,639
798.8101196,706
798.9541626,715
799.0981445,788
799.2421265,744
799.3861084,695
799.5300903,751
799.6740112,627
799.8179932,682
799.9619141,794
800.105835,841
800.2497559,625
800.3936768,595
800.5375366,755
800.6814575,619
800.8253174,816
800.9691772,750
801.1130371,585
801.256897,701
801.4006958,663
801.5445557,690
801.6883545,661
801.8321533,692
801.9759521,586
802.119751,619
802.2635498,675
802.4072876,742
802.5510254,652
802.6947632,679
802.838501,735
802.9822388,685
803.1259766,673
803.2696533,646
803.4133911,907
803.5570679,629
803.7007446,742
803.8444214,630
803.9880371,835
804.1317139,669
804.2753296,674
804.4189453,685
804.562561,589
804.7061768,643
804.8497925,680
804.9933472,635
805.1369019,860
805.2805176,654
805.4240723,703
805.5675659,672
805.7111206,663
805.8546753,640
805.9981689,769
806.1416626,725
806.2851563,626
806.4286499,841
806.5721436,754
806.7155762,776
806.8590698,544
807.0025024,669
807.1459351,678
807.2893677,687
807.4327393,496
807.5761719,534
807.7195435,728
807.862915,685
808.0062866,689
808.1496582,794
808.2930298,627
808.4363403,654
808.5797119,572
808.7230225,568
808.866333,581
809.0096436,751
809.1529541,689
809.2962036,630
809.4394531,670
809.5827637,668
809.7260132,799
809.8692627,570
810.0124512,665
810.1557007,675
810.2988892,718
810.4420776,779
810.5852661,661
810.7284546,684
810.8716431,699
811.0148315,637
811.157959,655
811.3010864,674
811.4442139,814
811.5873413,667
811.7304688,562
811.8735352,599
812.0166626,691
812.159729,739
812.3027954,749
812.4458618,715
812.5889282,797
812.7319336,849
812.875,609
813.0180054,700
813.1610107,561
813.3040161,644
813.4469604,760
813.5899658,650
813.7329102,662
813.8759155,570
814.0188599,600
814.1618042,708
814.3046875,727
814.4476318,661
814.5905151,599
814.7333984,704
814.8762817,564
815.019165,693
815.1620483,680
815.3049316,749
815.4477539,702
815.5905762,680
815.7333984,706
815.8762207,612
816.019043,578
816.1618042,737
816.3046265,660
816.4473877,517
816.5901489,696
816.7329102,663
816.8756714,654
817.0183716,566
817.1611328,746
817.303833,554
817.4465332,609
817.5892334,649
817.7319336,819
817.8745728,635
818.0172119,793
818.1599121,642
818.3025513,784
818.4451904,477
818.5877686,667
818.7304077,652
818.8729858,843
819.015625,766
819.1582031,518
819.3007202,711
819.4432983,740
819.5858765,627
819.7283936,629
819.8709106,619
820.0134277,711
820.1559448,690
820.2984619,645
820.440918,736
820.5834351,775
820.7258911,527
820.8683472,713
821.0108032,666
821.1532593,692
821.2956543,901
821.4381104,659
821.5805054,700
821.7229004,797
821.8652954,724
822.0076294,706
822.1500244,685
822.2923584,858
822.4346924,560
822.5770264,706
822.7193604,673
822.8616943,742
823.0040283,699
823.1463013,596
823.2885742,579
823.4308472,770
823.5731201,623
823.7153931,653
823.857605,762
823.9998779,805
824.1420898,677
824.2843018,591
824.4265137,676
824.5686646,789
824.7108765,668
824.8530273,652
824.9951782,751
825.1373291,774
825.27948,720
825.4216309,626
825.5637207,666
825.7058716,615
825.8479614,635
825.9900513,774
826.1321411,717
826.2741699,593
826.4162598,577
826.5582886,749
826.7003174,619
826.8423462,706
826.984375,784
827.1264038,682
827.2683716,772
827.4103394,833
827.5523682,817
827.6943359,648
827.8362427,915
827.9782104,624
828.1201172,722
828.262085,630
828.4039917,664
828.5458984,653
828.6878052,764
828.8296509,683
828.9715576,693
829.1134033,684
829.255249,606
829.3970947,670
829.5389404,807
829.6807861,548
829.8225708,814
829.9643555,667
830.1061401,753
830.2479248,697
830.3897095,758
830.5314941,621
830.6732178,831
830.8149414,768
830.956665,790
831.0983887,657
831.2401123,766
831.3818359,733
831.5234985,624
831.6651611,463
831.8068237,634
831.9484863,711
832.0901489,828
832.2318115,576
832.3734131,693
832.5150146,615
832.6566162,607
832.7982178,850
832.9398193,704
833.0813599,804
833.2229614,837
833.364502,591
833.5060425,625
833.647583,632
833.7891235,698
833.930603,806
834.0721436,811
834.213623,722
834.3551025,778
834.496582,627
834.6380005,733
834.77948,641
834.9208984,687
835.0623169,511
835.2037354,655
835.3451538,746
835.4865723,814
835.6279297,563
835.7693481,539
835.9107056,639
836.052063,775
836.1934204,567
836.3347168,635
836.4760742,671
836.6173706,813
836.758667,813
836.8999634,773
837.0412598,703
837.1825562,655
837.3237915,756
837.4650269,636
837.6063232,752
837.7474976,679
837.8887329,703
838.0299683,640
838.1711426,698
838.3123779,594
838.4535522,745
838.5947266,733
838.7358398,780
838.8770142,553
839.0181274,645
839.1593018,676
839.300415,644
839.4415283,804
839.5825806,656
839.7236938,702
839.8647461,678
840.0057983,686
840.1469116,774
840.2879028,650
840.4289551,633
840.5700073,827
840.7109985,643
840.8519897,735
840.992981,683
841.1339722,652
841.2749634,705
841.4158936,705
841.5568848,681
841.6978149,635
841.8387451,650
841.9796753,784
842.1205444,692
842.2614746,668
842.4023438,617
842.5432129,689
842.684082,668
842.8249512,578
842.9658203,790
843.1066284,678
843.2474365,760
843.3883057,568
843.5291138,739
843.6698608,589
843.8106689,649
843.951416,666
844.0922241,688
844.2329712,691
844.3737183,822
844.5144043,678
844.6551514,689
844.7958374,718
844.9365845,555
845.0772705,641
845.2179565,583
845.3585815,750
845.4992676,645
845.6398926,845
845.7805176,664
845.9211426,535
846.0617676,667
846.2023926,710
846.3430176,778
846.4835815,634
846.6241455,689
846.7647095,757
846.9052734,813
847.0458374,705
847.1863403,785
847.3268433,806
847.4674072,732
847.6079102,782
847.7483521,610
847.888855,776
848.0292969,597
848.1697998,572
848.3102417,673
848.4506836,689
848.5911255,768
848.7315063,562
848.8719482,774
849.0123291,778
849.15271,614
849.2930908,678
849.4334717,813
849.5737915,645
849.7141724,675
849.8544922,491
849.994812,727
850.1351318,672
850.2754517,632
850.4157104,603
850.5559692,701
850.6962891,779
850.8365479,716
850.9767456,728
851.1170044,651
851.2572632,814
851.3974609,733
851.5376587,1456
851.6778564,692
851.8180542,731
851.958252,595
852.0983887,686
852.2385254,600
852.3787231,672
852.5187988,719
852.6589355,643
852.7990723,745
852.9391479,670
853.0792847,582
853.2193604,603
853.359436,947
853.4994507,612
853.6395264,717
853.779541,671
853.9196167,683
854.0596313,777
854.199585,768
854.3395996,798
854.4796143,725
854.6195679,663
854.7595215,678
854.8994751,514
855.0394287,655
855.1793823,558
855.3192749,583
855.4592285,671
855.5991211,657
855.7390137,675
855.8789063,581
856.0187378,833
856.1586304,701
856.2984619,654
856.4382935,665
856.578125,726
856.7179565,674
856.8577271,688
856.9975586,551
857.1373291,632
857.2770996,727
857.4168701,817
857.5566406,804
857.6963501,627
857.8361206,596
857.9758301,639
858.1155396,804
858.255249,692
