lambda,b
387.6186218,644
387.7842712,682
387.9499207,650
388.1155701,751
388.2812195,683
388.4468384,762
388.6124573,697
388.7780762,719
388.9436951,781
389.109314,701
389.2749023,691
389.4404907,596
389.6060791,819
389.7716675,876
389.9372253,646
390.1028137,733
390.2683716,572
390.4339294,711
390.5994568,918
390.7650146,745
390.930542,802
391.0960693,674
391.2615967,725
391.427124,741
391.5926208,692
391.7581177,623
391.9236145,677
392.0891113,632
392.2546082,850
392.4200745,664
392.5855408,683
392.7510071,776
392.9164734,604
393.0819397,645
393.2473755,702
393.4128113,759
393.5782471,734
393.7436829,770
393.9090881,820
394.0744934,713
394.2399292,839
394.405304,529
394.5707092,697
394.736084,580
394.9014893,668
395.066864,787
395.2322083,586
395.397583,750
395.5629272,684
395.728302,732
395.8936462,697
396.05896,629
396.2243042,731
396.3896179,742
396.5549316,952
396.7202454,846
396.8855591,762
397.0508423,623
397.216156,835
397.3814392,692
397.5467224,831
397.7119751,715
397.8772583,665
398.042511,677
398.2077637,700
398.3730164,787
398.5382385,777
398.7034607,758
398.8687134,714
399.0339355,670
399.1991272,731
399.3643494,806
399.529541,943
399.6947327,669
399.8599243,675
400.025116,707
400.1902771,733
400.3554382,577
400.5205994,892
400.6857605,843
400.8509216,697
401.0160522,622
401.1811829,656
401.3463135,700
401.5114441,717
401.6765747,734
401.8416748,859
402.0067749,618
402.171875,688
402.3369751,662
402.5020447,669
402.6671143,667
402.8321838,785
402.9972534,688
403.162323,745
403.3273621,822
403.4924316,669
403.6574707,712
403.8224792,760
403.9875183,754
404.1525269,667
404.3175354,730
404.4825439,652
404.6475525,874
404.8125305,671
404.9775391,597
405.1425171,651
405.3074951,630
405.4724426,647
405.6374207,743
405.8023682,734
405.9673157,801
406.1322632,715
406.2971802,627
406.4621277,671
406.6270447,761
406.7919617,762
406.9568481,723
407.1217651,729
407.2866516,653
407.4515381,706
407.6164246,555
407.781311,687
407.946167,658
408.1110229,874
408.2758789,709
408.4407349,805
408.6055908,577
408.7704163,789
408.9352417,593
409.1000671,718
409.2648926,924
409.4296875,780
409.5944824,606
409.7592773,648
409.9240723,665
410.0888672,642
410.2536316,678
410.4184265,697
410.5831909,748
410.7479248,812
410.9126892,699
411.0774231,669
411.242157,730
411.4068909,618
411.5716248,680
411.7363281,633
411.901062,914
412.0657654,663
412.2304688,683
412.3951416,808
412.559845,660
412.7245178,703
412.8891907,725
413.053833,665
413.2185059,900
413.3831482,660
413.5477905,653
413.7124329,600
413.8770752,642
414.041687,636
414.2063293,686
414.3709412,634
414.535553,770
414.7001343,569
414.8647156,614
415.0293274,765
415.1939087,681
415.3584595,787
415.5230408,644
415.6875916,715
415.8521423,754
416.0166931,598
416.1812439,587
416.3457642,716
416.5102844,1001
416.6748047,669
416.839325,711
417.0038452,705
417.168335,636
417.3328247,744
417.4973145,686
417.6618042,645
417.8262634,846
417.9907227,684
418.1551819,554
418.3196411,855
418.4841003,696
418.6485291,783
418.8129578,708
418.9773865,677
419.1418152,817
419.3062439,822
419.4706421,853
419.6350403,714
419.7994385,752
419.9638367,694
420.1282043,683
420.292572,758
420.4569397,715
420.6213074,884
420.785675,621
420.9500122,739
421.1143494,783
421.2786865,689
421.4430237,950
421.6073303,698
421.771637,667
421.9359436,753
422.1002502,696
422.2645569,749
422.428833,711
422.5931091,717
422.7573853,606
422.9216614,714
423.085907,716
423.2501831,831
423.4144287,618
423.5786743,751
423.7428894,597
423.907135,782
424.0713501,785
424.2355652,659
424.3997803,791
424.5639648,664
424.7281494,647
424.892334,708
425.0565186,745
425.2207031,633
425.3848572,854
425.5490417,831
425.7131958,570
425.8773193,646
426.0414734,798
426.2055969,693
426.3697205,723
426.533844,773
426.6979675,765
426.8620605,813
427.0261841,704
427.1902771,735
427.3543701,798
427.5184326,792
427.6825256,714
427.8465881,722
428.0106506,813
428.1746826,729
428.3387451,840
428.5027771,803
428.6668091,753
428.8308411,646
428.9948425,706
429.1588745,718
429.322876,623
429.4868774,840
429.6508789,745
429.8148499,743
429.9788208,917
430.1428223,775
430.3067627,696
430.4707336,778
430.6346741,813
430.798645,686
430.9625854,747
431.1264954,680
431.2904358,797
431.4543457,716
431.6182556,897
431.7821655,715
431.9460754,698
432.1099548,778
432.2738342,792
432.4377136,902
432.601593,937
432.7654419,715
432.9293213,761
433.0931702,730
433.257019,827
