lambda;rgb
379.1616821;657
379.3276672;785
379.4936523;751
379.6596069;698
379.8255615;735
379.9915161;722
380.1574707;796
380.3234253;653
380.4893494;785
380.6552734;751
380.8211975;685
380.9871216;846
381.1530457;812
381.3189392;728
381.4848328;801
381.6507263;696
381.8166199;789
381.9825134;722
382.1483765;820
382.3142395;692
382.4801025;874
382.6459656;792
382.8117981;799
382.9776306;880
383.1434631;708
383.3092957;615
383.4751282;650
383.6409302;581
383.8067627;686
383.9725647;802
384.1383667;755
384.3041382;803
384.4699402;608
384.6357117;755
384.8014832;735
384.9672546;825
385.1329956;715
385.2987671;684
385.4645081;721
385.630249;803
385.7959595;660
385.9617004;693
386.1274109;684
386.2931519;768
386.4588318;627
386.6245422;694
386.7902527;800
386.9559326;620
387.1216125;782
387.2872925;681
387.4529724;749
387.6186218;660
387.7842712;718
387.9499207;709
388.1155701;830
388.2812195;652
388.4468384;896
388.6124573;665
388.7780762;620
388.9436951;703
389.109314;724
389.2749023;728
389.4404907;604
389.6060791;752
389.7716675;899
389.9372253;604
390.1028137;666
390.2683716;602
390.4339294;768
390.5994568;891
390.7650146;792
390.930542;733
391.0960693;717
391.2615967;726
391.427124;859
391.5926208;804
391.7581177;730
391.9236145;750
392.0891113;601
392.2546082;827
392.4200745;700
392.5855408;651
392.7510071;757
392.9164734;616
393.0819397;687
393.2473755;720
393.4128113;775
393.5782471;804
393.7436829;758
393.9090881;781
394.0744934;772
394.2399292;789
394.405304;674
394.5707092;745
394.736084;582
394.9014893;702
395.066864;818
395.2322083;589
395.397583;732
395.5629272;689
395.728302;793
395.8936462;801
396.05896;654
396.2243042;662
396.3896179;730
396.5549316;868
396.7202454;792
396.8855591;701
397.0508423;795
397.216156;955
397.3814392;690
397.5467224;822
397.7119751;660
397.8772583;803
398.042511;751
398.2077637;753
398.3730164;783
398.5382385;720
398.7034607;767
398.8687134;691
399.0339355;678
399.1991272;787
399.3643494;716
399.529541;993
399.6947327;667
399.8599243;731
400.025116;767
400.1902771;726
400.3554382;582
400.5205994;943
400.6857605;851
400.8509216;723
401.0160522;675
401.1811829;725
401.3463135;763
401.5114441;753
401.6765747;769
401.8416748;809
402.0067749;560
402.171875;759
402.3369751;674
402.5020447;612
402.6671143;670
402.8321838;812
402.9972534;647
403.162323;767
403.3273621;844
403.4924316;663
403.6574707;630
403.8224792;789
403.9875183;797
404.1525269;784
404.3175354;725
404.4825439;661
404.6475525;788
404.8125305;722
404.9775391;596
405.1425171;690
405.3074951;776
405.4724426;762
405.6374207;761
405.8023682;750
405.9673157;891
406.1322632;684
406.2971802;661
406.4621277;710
406.6270447;731
406.7919617;761
406.9568481;756
407.1217651;776
407.2866516;713
407.4515381;713
407.6164246;546
407.781311;746
407.946167;604
408.1110229;852
408.2758789;812
408.4407349;755
408.6055908;693
408.7704163;770
408.9352417;634
409.1000671;814
409.2648926;863
409.4296875;734
409.5944824;645
409.7592773;745
409.9240723;739
410.0888672;681
410.2536316;707
410.4184265;680
410.5831909;762
410.7479248;803
410.9126892;720
411.0774231;669
411.242157;654
411.4068909;743
411.5716248;709
411.7363281;662
411.901062;938
412.0657654;691
412.2304688;685
412.3951416;742
412.559845;601
412.7245178;787
412.8891907;821
413.053833;732
413.2185059;831
413.3831482;566
413.5477905;617
413.7124329;616
413.8770752;690
414.041687;591
414.2063293;659
414.3709412;680
414.535553;724
414.7001343;655
414.8647156;669
415.0293274;691
415.1939087;640
415.3584595;756
415.5230408;685
415.6875916;698
415.8521423;751
416.0166931;628
416.1812439;594
416.3457642;618
416.5102844;1007
416.6748047;701
416.839325;776
417.0038452;647
417.168335;733
417.3328247;815
417.4973145;772
417.6618042;690
417.8262634;787
417.9907227;706
418.1551819;611
418.3196411;764
418.4841003;693
418.6485291;899
418.8129578;727
418.9773865;761
419.1418152;826
419.3062439;866
419.4706421;815
419.6350403;769
419.7994385;828
419.9638367;745
420.1282043;707
420.292572;743
420.4569397;670
420.6213074;832
420.785675;652
420.9500122;871
421.1143494;751
421.2786865;747
421.4430237;944
421.6073303;814
421.771637;669
421.9359436;691
422.1002502;655
422.2645569;808
422.428833;655
422.5931091;712
422.7573853;601
422.9216614;793
423.085907;786
423.2501831;763
423.4144287;658
423.5786743;698
423.7428894;658
423.907135;835
424.0713501;823
424.2355652;743
424.3997803;891
424.5639648;657
424.7281494;787
424.892334;771
425.0565186;727
425.2207031;677
425.3848572;946
425.5490417;839
425.7131958;617
425.8773193;665
426.0414734;792
426.2055969;655
426.3697205;693
426.533844;802
426.6979675;734
426.8620605;806
427.0261841;767
427.1902771;816
427.3543701;897
427.5184326;817
427.6825256;733
427.8465881;773
428.0106506;848
428.1746826;722
428.3387451;824
428.5027771;868
428.6668091;798
428.8308411;746
428.9948425;765
429.1588745;752
429.322876;668
429.4868774;899
429.6508789;763
429.8148499;782
429.9788208;936
430.1428223;802
430.3067627;737
430.4707336;755
430.6346741;773
430.798645;742
430.9625854;711
431.1264954;746
431.2904358;821
431.4543457;896
431.6182556;937
431.7821655;839
431.9460754;793
432.1099548;828
432.2738342;776
432.4377136;830
432.601593;985
432.7654419;910
432.9293213;774
433.0931702;826
433.257019;903
433.4208374;798
433.5846863;767
433.7485046;925
433.912323;867
434.0761414;787
434.2399292;1023
434.4037476;851
434.5675354;1096
434.7312927;787
434.8950806;943
435.0588684;935
435.2226257;883
435.3863831;1130
435.5501099;1065
435.7138672;869
435.877594;1031
436.0413208;1095
436.2050476;1093
436.3687744;1026
436.5324707;1132
436.6961975;895
436.8598938;1021
437.0235596;1224
437.1872559;1141
437.3509216;1198
437.5145874;1185
437.6782532;1248
437.8419189;1030
438.0055542;1296
438.1691895;1235
438.3328247;1384
438.49646;1072
438.6600952;1239
438.8237;1404
438.9873047;1153
439.1509094;1346
439.3145142;1394
439.4780884;1373
439.6416626;1262
439.8052368;1328
439.968811;1489
440.1323547;1511
440.295929;1382
440.4594727;1391
440.6230164;1524
440.7865295;1450
440.9500732;1375
441.1135864;1613
441.2770996;1653
441.4406128;1592
441.6040955;1725
441.7675781;1611
441.9310608;1610
442.0945435;1664
442.2580261;1588
442.4214783;1740
442.5849304;1761
442.7483826;1845
442.9118347;1822
443.0752869;1928
443.2387085;1880
443.4021301;1906
443.5655518;1892
443.7289429;2061
443.8923645;1986
444.0557556;2030
444.2191467;2267
444.3825073;2204
444.5458984;2268
444.709259;2277
444.8726196;2167
445.0359802;2375
445.1993408;2356
445.3626709;2378
445.526001;2442
445.6893311;2665
445.8526611;2619
446.0159607;2518
446.1792603;2513
446.3425598;2761
446.5058594;2798
446.6691589;2913
446.832428;2929
446.995697;2632
447.1589661;3096
447.3222351;3193
447.4854736;2768
447.6487122;2978
447.8119507;3186
447.9751892;3030
448.1384277;3546
448.3016357;3438
448.4648438;3351
448.6280518;3539
448.7912292;3397
448.9544373;3541
449.1176147;3781
449.2807922;3765
449.4439697;3821
449.6071167;3912
449.7702637;4248
449.9334106;3970
450.0965576;4176
450.2597046;4132
450.422821;4552
450.5859375;4278
450.749054;4677
450.9121704;4580
451.0752563;4604
451.2383728;5050
451.4014587;4883
451.5645142;5042
451.7276001;4804
451.8906555;5408
452.0537109;5149
452.2167664;5541
452.3798218;5615
452.5428467;5710
452.7059021;5722
452.868927;5936
453.0319214;5928
453.1949463;6057
453.3579407;6509
453.5209351;6235
453.6839294;6456
453.8469238;6828
454.0098877;6618
454.1728516;6978
454.3358154;6845
454.4987793;7224
454.6617126;7534
454.824646;7371
454.9875793;7503
455.1505127;7818
455.313446;8010
455.4763489;7899
455.6392517;7843
455.8021545;8053
455.9650574;8015
456.1279297;8191
456.290802;8771
456.4536743;9055
456.6165466;8754
456.7794189;9207
456.9422607;9185
457.1051025;9323
457.2679443;9249
457.4307556;9545
457.5935974;9609
457.7564087;9766
457.91922;9717
458.0820313;9982
458.244812;10192
458.4075928;10038
458.5703735;10579
458.7331543;10592
458.8959351;10697
459.0586853;10136
459.2214355;10869
459.3841858;10919
459.5469055;10724
459.7096558;11264
459.8723755;11462
460.0350952;11336
460.1978149;11313
460.3605042;11004
460.5231934;11330
460.6858826;11637
460.8485718;11534
461.011261;11304
461.1739197;11454
461.3365784;11343
461.4992371;11488
461.6618958;11955
461.8245239;11562
461.9871521;11031
462.1497803;11141
462.3124084;10960
462.4750366;12039
462.6376343;11075
462.8002319;11357
462.9628296;11774
463.1253967;10936
463.2879944;11321
463.4505615;11361
463.6131287;11484
463.7756653;10657
463.9382324;11446
464.100769;10542
464.2633057;10360
464.4258423;10594
464.5883484;10082
464.750885;10459
464.9133911;10405
465.0758972;10460
465.2383728;10189
465.4008789;9745
465.5633545;9723
465.7258301;9586
465.8882751;9546
466.0507507;9680
466.2131958;9326
466.3756409;9389
466.5380859;9241
466.7005005;8903
466.8629456;8868
467.0253601;8787
467.1877441;8596
467.3501587;8564
467.5125427;8427
467.6749573;8202
467.8373108;8133
467.9996948;8480
468.1620789;8000
468.3244324;7867
468.4867859;7759
468.6491394;7562
468.8114624;7658
468.9737854;7500
469.1361084;7707
469.2984314;7543
469.4607544;7535
469.6230469;7227
469.7853394;7176
469.9476318;7231
470.1099243;7097
470.2721863;6981
470.4344788;6913
470.5967407;6890
470.7589722;6807
470.9212341;6692
471.0834656;6580
471.245697;6598
471.4079285;6825
471.5701599;6531
471.7323608;6402
471.8945618;6426
472.0567627;6611
472.2189636;6486
472.381134;6453
472.5433044;6291
472.7054749;6389
472.8676453;6221
473.0297852;6359
473.1919556;6376
473.3540955;6131
473.5162354;6024
473.6783447;6046
473.8404541;6017
474.002594;6394
474.1646729;5859
474.3267822;6114
474.4888611;6013
474.6509705;5914
474.8130493;5913
474.9750977;5725
475.1371765;5835
475.2992249;5732
475.4612732;5823
475.6233215;5460
475.7853394;5664
475.9473877;5399
476.1094055;5736
476.2714233;5631
476.4334106;5600
476.5953979;5572
476.7574158;5493
476.9194031;5566
477.0813599;5587
477.2433472;5362
477.405304;5458
477.5672607;5282
477.7292175;5353
477.8911438;5403
478.0530701;5363
478.2149963;5345
478.3769226;5051
478.5388489;4904
478.7007446;5105
478.8626404;4937
479.0245361;5166
479.1864319;4923
479.3482971;5052
479.5101624;4816
479.6720276;4780
479.8338928;4887
479.9957275;4791
480.1575928;4744
480.3194275;4614
480.4812317;4850
480.6430664;4655
480.8048706;4831
480.9666748;4656
481.128479;4701
481.2902832;4539
481.4520569;4545
481.6138306;4653
481.7756042;4376
481.9373779;4412
482.0991211;4211
482.2608643;4492
482.4226074;4282
482.5843506;4330
482.7460632;4434
482.9078064;4293
483.069519;4130
483.2312012;4071
483.3929138;4131
483.5545959;4215
483.7162781;4048
483.8779602;3909
484.0396423;4049
484.2012939;3859
484.3629456;3761
484.5245972;3978
484.6862488;4030
484.8478699;3960
485.009491;3981
485.1711121;3760
485.3327332;3815
485.4943237;3881
485.6559448;3854
485.8175354;3568
485.9790955;3738
486.140686;3761
486.3022461;3542
486.4638062;3747
486.6253662;3572
486.7869263;3629
486.9484558;3570
487.1099854;3677
487.2715149;3683
487.4330444;3506
487.5945435;3598
487.7560425;3527
487.9175415;3488
488.0790405;3435
488.240509;3509
488.4019775;3413
488.563446;3355
488.7249146;3258
488.8863831;3339
489.047821;3280
489.209259;3282
489.370697;3251
489.5321045;3459
489.6935425;3443
489.85495;3166
490.0163574;3401
490.1777344;3297
490.3391418;3315
490.5005188;3121
490.6618958;3101
490.8232422;3166
490.9846191;3028
491.1459656;3267
491.307312;3016
491.4686584;2966
491.6299744;3225
491.7912903;3050
491.9526062;3029
492.1139221;3060
492.275238;3027
492.4365234;2950
492.5978088;3055
492.7590942;3056
492.9203491;3012
493.0816345;3171
493.2428894;3049
493.4041443;3069
493.5653687;3086
493.7266235;2986
493.8878479;2777
494.0490723;3012
494.2102661;3052
494.3714905;2897
494.5326843;2933
494.6938782;3142
494.855072;2862
495.0162354;2998
495.1773987;3194
495.338562;2870
495.4997253;3051
495.6608887;2925
495.8220215;2961
495.9831543;2875
496.1442871;2927
496.3053894;2747
496.4665222;2870
496.6276245;2768
496.7886963;2785
496.9497986;2821
497.1108704;2857
497.2719727;2583
497.4330139;2724
497.5940857;2806
497.7551575;2754
497.9161987;2620
498.07724;2661
498.2382507;2798
498.399292;2799
498.5603027;2739
498.7213135;2704
498.8823242;2728
499.0433044;2705
499.2042847;2647
499.3652649;2683
499.5262451;2676
499.6872253;2730
499.848175;2634
500.0091248;2681
500.1700745;2719
500.3310242;2746
500.4919434;2783
500.6528625;2577
500.8137817;2822
500.9746704;2873
501.1355896;2739
501.2964783;2645
501.4573669;2680
501.6182556;2819
501.7791138;2744
501.9399719;2691
502.1008301;2734
502.2616882;2702
502.4225159;2911
502.5833435;2818
502.7441711;2791
502.9049988;2851
503.0658264;2689
503.2266235;2953
503.3874207;2809
503.5482178;2933
503.7089844;3073
503.869751;2868
504.0305481;2870
504.1912842;3038
504.3520508;3104
504.5127869;3010
504.6735229;3002
504.834259;2855
504.9949951;2889
505.1557007;3124
505.3164063;3133
505.4771118;3107
505.6378174;3069
505.7984924;3150
505.9591675;3112
506.1198425;3244
506.2805176;3149
506.4411621;3140
506.6018066;3255
506.7624512;3170
506.9230957;3378
507.0837402;3152
507.2443542;3224
507.4049683;3269
507.5655518;3251
507.7261658;3283
507.8867493;3280
508.0473328;3288
508.2079163;3496
508.3684692;3307
508.5290527;3403
508.6896057;3530
508.8501587;3598
509.0106812;3414
509.1712036;3381
509.3317566;3659
509.4922485;3699
509.652771;3681
509.8132629;3551
509.9737549;3616
510.1342468;3595
510.2947388;3583
510.4552002;3786
510.6156616;3731
510.776123;3898
510.9365845;3983
511.0970154;3887
511.2574463;3951
511.4178772;3897
511.5783081;4115
511.7387085;3987
511.8991394;4075
512.0595093;4079
512.2199097;4234
512.3803101;4297
512.5406494;4221
512.7010498;4367
512.8613892;4417
513.0217285;4309
513.1821289;4420
513.3424683;4540
513.5027466;4383
513.6630859;4602
513.8234253;4680
513.9837036;4690
514.144043;4628
514.3043213;4585
514.4645996;4621
514.6248779;4748
514.7851563;4797
