lambda,g
592.8646851,979
593.0210571,1135
593.1774902,865
593.3339233,698
593.4902954,934
593.6467285,735
593.8031006,795
593.9594727,874
594.1158447,857
594.2721558,847
594.4285278,863
594.5848999,801
594.7412109,711
594.897522,956
595.053833,847
595.210144,763
595.3664551,808
595.5227661,1057
595.6790771,812
595.8353271,781
595.9915771,607
596.1478882,714
596.3041382,760
596.4603882,726
596.6165771,796
596.7728271,809
596.9290161,713
597.0852661,782
597.2414551,741
597.397644,780
597.553833,838
597.710022,764
597.8662109,781
598.0223389,848
598.1785278,672
598.3346558,811
598.4907837,806
598.6469116,684
598.8030396,720
598.9591675,706
599.1152954,771
599.2713623,657
599.4274902,730
599.5835571,606
599.739624,705
599.8956909,677
600.0517578,790
600.2078247,593
600.3638306,767
600.5198975,766
600.6759033,868
600.8319092,828
600.987915,788
601.1439209,717
601.2999268,877
601.4558716,938
601.6118774,916
601.7678223,750
601.9237671,666
602.0797729,812
602.2356567,623
602.3916016,632
602.5475464,739
602.7034912,749
602.859375,732
603.0152588,717
603.1711426,724
603.3270264,759
603.4829102,648
603.6387939,636
603.7946777,690
603.9505005,704
604.1063843,837
604.262207,694
604.4180298,906
604.5738525,789
604.7296753,780
604.885437,790
605.0412598,677
605.1970215,699
605.3527832,620
605.508606,764
605.6643677,729
605.8200684,802
605.9758301,683
606.1315918,806
606.2872925,660
606.4429932,666
606.5987549,729
606.7544556,739
606.9101563,705
607.0657959,724
607.2214966,633
607.3771973,752
607.5328369,709
607.6884766,720
607.8441162,734
607.9997559,788
608.1553955,698
608.3110352,812
608.4666138,828
608.6222534,1023
608.777832,910
608.9334106,705
609.0889893,858
609.2445679,734
609.4001465,659
609.5556641,739
609.7112427,666
609.8667603,717
610.0223389,723
610.1778564,647
610.333374,683
610.4888306,697
610.6443481,722
610.7998657,673
610.9553223,825
611.1107788,761
611.2662354,782
611.4216919,869
611.5771484,746
611.732605,714
611.8880005,880
612.043457,645
612.1988525,698
612.354248,817
612.5096436,825
612.6650391,744
612.8204346,806
612.9758301,873
613.1311646,836
613.286499,870
613.4418945,948
613.597229,749
613.7525635,778
613.9078979,806
614.0631714,693
614.2185059,754
614.3737793,768
614.5290527,735
614.6843872,807
614.8396606,848
614.994873,799
615.1501465,668
615.3054199,845
615.4606323,659
615.6158447,832
615.7711182,789
615.9263306,832
616.081543,798
616.2366943,615
616.3919067,576
616.5470581,692
616.7022705,728
616.8574219,717
617.0125732,621
617.1677246,704
617.322876,594
617.4780273,652
617.6331177,780
617.788208,646
617.9433594,694
618.0984497,757
618.25354,720
618.4086304,808
618.5636597,675
618.71875,645
618.8737793,816
619.0288696,716
619.1838989,772
619.3389282,795
619.4939575,554
619.6489868,574
619.8039551,744
619.9589844,714
620.1139526,719
620.2689209,717
620.4238892,725
620.5788574,576
620.7338257,631
620.8887939,701
621.0437012,704
621.1986694,744
621.3535767,734
621.5084839,677
621.6633911,726
621.8182983,650
621.9731445,750
622.1280518,673
622.2828979,604
622.4378052,631
622.5926514,661
622.7474976,783
622.9023438,678
623.0571289,718
623.2119751,631
623.3667603,672
623.5216064,621
623.6763916,653
623.8311768,575
623.9859619,643
624.1407471,726
624.2954712,736
624.4502563,832
624.6049805,671
624.7597046,783
624.9144287,677
625.0691528,642
625.223877,588
625.3786011,723
625.5332642,691
625.6879883,674
625.8426514,657
625.9973145,804
626.1519775,759
626.3066406,657
626.4613037,799
626.6159058,620
626.7705688,774
626.9251709,739
627.0797729,782
627.234375,839
627.3889771,678
627.5435791,735
627.6981201,583
627.8527222,939
628.0072632,741
628.1618042,771
628.3163452,777
628.4708862,677
628.6254272,771
628.7799683,750
628.9344482,693
629.0889893,734
629.2434692,726
629.3979492,659
629.5524292,693
629.7069092,932
629.8613281,739
630.0158081,723
630.1702271,823
630.324646,664
630.4790649,742
630.6334839,893
630.7879028,793
630.9423218,753
631.0967407,796
631.2510986,777
631.4054565,718
631.5598145,768
631.7141724,650
631.8685303,824
632.0228882,660
632.1771851,755
632.331543,932
632.4858398,765
632.6401367,624
632.7944336,866
632.9487305,711
633.1030273,710
633.2573242,616
633.4115601,798
633.5657959,639
633.7200928,611
633.8743286,745
634.0285645,734
634.1827393,677
634.3369751,763
634.4912109,725
634.6453857,820
634.7995605,595
634.9537354,832
635.1079102,771
635.262085,770
635.4162598,608
635.5703735,729
635.7244873,808
635.8786621,729
636.0327759,763
636.1868896,770
636.3410034,754
636.4950562,766
636.6491699,854
636.8032227,741
636.9572754,681
637.1113892,687
637.2654419,843
637.4194336,781
637.5734863,738
637.7275391,770
637.8815308,847
638.0355225,881
638.1895752,740
638.3435669,805
638.4974976,635
638.6514893,745
638.805481,724
638.9594116,762
639.1134033,758
639.267334,725
639.4212646,598
639.5751953,694
639.7290649,731
639.8829956,773
640.0368652,712
640.1907959,711
640.3446655,723
640.4985352,577
640.6524048,630
640.8062744,636
640.960083,761
641.1139526,685
641.2677612,714
641.4215698,899
641.5753784,742
641.729187,614
641.8829956,538
642.0368042,689
642.1905518,649
642.3443604,829
642.4981079,775
642.6518555,817
642.805603,728
642.9593506,764
643.1130371,646
643.2667847,627
643.4204712,698
643.5742188,548
643.7279053,634
643.8815918,761
644.0352173,673
644.1889038,703
644.3425903,680
644.4962158,647
644.6498413,718
644.8034668,770
644.9570923,735
645.1107178,716
645.2643433,765
645.4179077,803
645.5715332,787
645.7250977,711
645.8786621,802
646.0322266,756
646.185791,673
646.3393555,735
646.4928589,747
646.6464233,831
646.7999268,634
646.9534302,854
647.1069336,753
647.260437,603
647.4139404,721
647.5673828,833
647.7208862,665
647.8743286,786
648.027771,657
648.1812134,678
648.3346558,820
648.4880981,658
648.6415405,699
648.7949219,740
648.9483032,671
649.1016846,694
649.2550659,745
649.4084473,703
649.5618286,726
649.71521,741
649.8685303,595
650.0219116,614
650.1752319,765
650.3285522,741
650.4818726,726
650.6351318,829
650.7884521,719
650.9417114,656
651.0950317,574
651.248291,695
651.4015503,612
651.5548096,755
651.7080688,870
651.8612671,727
652.0145264,837
652.1677246,660
652.3209229,733
652.4741211,729
652.6273193,685
652.7805176,780
652.9337158,716
653.086853,744
653.2400513,744
653.3931885,716
653.5463257,796
653.6994629,754
653.8525391,660
654.0056763,716
654.1588135,550
654.3118896,770
654.4649658,651
654.618042,688
654.7711182,668
654.9241943,681
655.0772705,677
655.2302856,795
655.3833008,654
655.536377,806
655.6893921,570
655.8424072,724
655.9953613,833
656.1483765,765
656.3013916,677
656.4543457,673
656.6072998,716
656.7602539,696
656.913208,720
657.0661621,726
657.2191162,540
657.3720093,664
657.5249023,744
657.6778564,650
657.8307495,783
657.9836426,622
658.1364746,754
658.2893677,786
658.4422607,737
658.5950928,591
658.7479248,887
658.9007568,663
659.0535889,649
659.2064209,866
659.3592529,707
659.5120239,655
659.664856,705
659.817627,676
659.9703979,713
660.1231689,617
660.2759399,673
660.4286499,718
660.5814209,736
660.7341309,736
660.8868408,646
661.0395508,678
661.1922607,799
661.3449707,634
661.4976807,756
661.6503296,577
661.8030396,831
661.9556885,689
662.1083374,689
662.2609863,782
662.4136353,554
662.5662231,665
662.7188721,740
662.87146,998
663.0240479,827
663.1766357,595
663.3292236,834
663.4818115,828
663.6343994,573
663.7869263,811
663.9395142,629
664.092041,725
664.2445679,772
664.3970947,742
664.5496216,831
664.7020874,788
664.8546143,730
665.0070801,710
665.1595459,681
665.3120117,553
665.4644775,716
665.6169434,673
665.7694092,655
665.921814,636
666.0742188,730
666.2266846,812
666.3790894,566
666.5314941,647
666.6838379,740
666.8362427,767
666.9885864,598
667.1409912,621
667.293335,773
667.4456787,680
667.5980225,699
667.7503662,683
667.9026489,670
668.0549927,640
668.2072754,684
668.3595581,677
668.5118408,889
668.6641235,675
668.8164063,662
668.968689,720
669.1209106,662
669.2731323,760
669.425354,915
669.5776367,635
669.7297974,714
669.882019,753
670.0342407,700
670.1864014,681
670.338562,789
670.4907837,621
670.6429443,786
670.795105,542
670.9472046,798
671.0993652,642
671.2514648,502
671.4036255,639
671.5557251,711
671.7078247,695
671.8599243,633
672.0119629,871
672.1640625,787
672.3161011,625
672.4682007,781
672.6202393,738
672.7722778,839
672.9243164,681
673.0762939,642
673.2283325,854
673.3803101,695
673.5322876,723
673.6843262,752
673.8363037,769
673.9882202,591
674.1401978,763
674.2921753,639
674.4440918,700
674.5960083,724
674.7479248,605
674.8998413,809
675.0517578,909
675.2036743,774
675.3555298,664
675.5074463,524
675.6593018,732
675.8111572,774
675.9630127,537
676.1148682,550
676.2666626,684
676.4185181,688
676.5703125,601
676.722168,746
676.8739624,825
677.0257568,714
677.1774902,706
677.3292847,736
677.4810181,759
677.6328125,638
677.7845459,591
677.9362793,631
678.0880127,826
678.2397461,657
678.3914185,881
678.5431519,539
678.6948242,753
678.8464966,585
678.9981689,702
679.1498413,618
679.3015137,757
679.453186,654
679.6047974,698
679.7564087,641
679.90802,727
680.0596313,786
680.2112427,757
680.362854,691
680.5144653,660
680.6660156,617
680.8175659,645
680.9691162,832
681.1206665,675
681.2722168,804
681.4237671,920
681.5753174,846
681.7268066,690
681.8782959,725
682.0297852,884
682.1812744,716
682.3327637,789
682.4842529,895
682.6356812,612
682.7871704,708
682.9385986,604
683.0900269,712
683.2414551,549
683.3928833,740
683.5442505,800
683.6956787,756
683.8470459,738
683.9984131,720
684.1498413,714
684.3011475,740
684.4525146,790
684.6038818,729
684.755188,640
684.9065552,721
685.0578613,714
685.2091675,609
685.3604736,746
685.5117188,630
685.6630249,680
685.8143311,659
685.9655762,700
686.1168213,697
686.2680664,699
686.4193115,640
686.5705566,825
686.7217407,688
686.8729858,628
687.0241699,741
687.175354,674
687.3265381,560
687.4777222,594
687.6288452,534
687.7800293,698
687.9311523,703
688.0823364,684
688.2334595,783
688.3845825,659
688.5357056,801
688.6867676,759
688.8378906,628
688.9889526,617
689.1400146,781
689.2910767,698
689.4421387,625
689.5932007,664
689.7442627,724
689.8952637,752
690.0462646,719
690.1973267,764
690.3483276,776
690.4993286,710
690.6502686,708
690.8012695,767
690.9522095,704
691.1032104,658
691.2541504,569
691.4050903,790
691.5560303,721
691.7069092,656
691.8578491,673
692.008728,812
692.159668,583
692.3105469,560
692.4614258,710
692.6123047,698
692.7631226,604
692.9140015,737
693.0648193,674
693.2156372,585
693.3664551,743
693.5172729,652
693.6680908,660
693.8189087,757
693.9696655,732
694.1204834,583
694.2712402,654
694.4219971,798
694.5727539,718
694.7235107,602
694.8742065,651
695.0249634,533
695.1756592,695
695.326355,781
695.4770508,527
695.6277466,633
695.7784424,678
695.9290771,701
696.0797729,632
696.2304077,707
696.3810425,528
696.5316772,681
696.682312,602
696.8328857,638
696.9835205,541
697.1340942,606
697.284729,572
697.4353027,651
697.5858765,735
697.7363892,726
697.8869629,753
698.0375366,600
698.1880493,885
698.338562,555
698.4890747,745
698.6395874,658
698.7901001,578
698.9405518,678
699.0910645,663
699.2415161,630
699.3919678,697
699.5424194,637
699.6928711,625
699.8433228,729
699.9937134,721
700.144165,538
700.2945557,636
700.4449463,632
700.5953369,606
700.7457275,646
700.8961182,689
701.0464478,626
701.1967773,738
701.347168,719
701.4974976,703
701.6478271,698
701.7980957,641
701.9484253,699
702.0986938,661
702.2490234,807
702.399292,669
702.5495605,608
702.6998291,647
702.8500977,606
703.0003052,503
703.1505737,584
703.3007813,672
703.4509888,811
703.6011963,649
703.7514038,653
703.9015503,836
704.0517578,742
704.2019043,621
704.3521118,612
704.5022583,608
704.6524048,686
704.8024902,665
704.9526367,548
705.1027222,642
705.2528687,756
705.4029541,679
705.5530396,562
705.703125,610
705.8532104,729
706.0032349,608
706.1533203,707
706.3033447,859
706.4533691,743
706.6033936,594
706.753418,720
706.9033813,617
707.0534058,605
707.2033691,791
707.3533936,779
707.5033569,520
707.6533203,644
707.8032227,666
707.953186,699
708.1031494,833
708.2530518,528
708.4029541,604
708.5528564,633
708.7027588,751
708.8526611,708
709.0025024,626
709.1524048,574
709.3022461,598
709.4520874,705
709.6019287,678
709.75177,575
709.9016113,573
710.0513916,575
710.2011719,650
710.3510132,687
710.5007935,759
710.6505737,670
710.800293,689
710.9500732,611
711.0998535,657
711.2495728,703
711.399292,809
711.5490112,662
711.6987305,835
711.8484497,648
711.9981079,643
712.1478271,764
712.2974854,659
712.4471436,717
712.5968018,706
712.74646,759
712.8961182,720
713.0457153,841
713.1953125,716
713.3449707,709
713.4945679,657
713.644165,702
713.7937012,652
713.9432983,720
714.0928345,618
714.2424316,632
714.3919678,695
714.5415039,746
714.69104,678
714.8405151,607
714.9900513,676
715.1395264,601
715.2890625,705
715.4385376,735
715.5880127,667
715.7374268,710
715.8869019,626
716.036377,768
716.185791,605
716.3352051,639
716.4846191,547
716.6340332,485
716.7834473,748
716.9328003,694
717.0822144,933
717.2315674,801
717.3809204,708
717.5302734,688
717.6796265,687
717.8289795,800
717.9782715,626
718.1276245,680
718.2769165,654
718.4262085,595
718.5755005,690
718.7247925,743
718.8740234,638
719.0233154,575
719.1725464,625
719.3217773,603
719.4710083,751
719.6202393,561
719.7694702,635
719.9186401,700
720.0678711,707
720.217041,633
720.3662109,668
720.5153809,657
720.6645508,650
720.8136597,629
720.9628296,562
721.1119385,740
721.2610474,598
721.4101563,739
721.5592651,778
721.708374,749
721.8574829,654
722.0065308,613
722.1555786,653
722.3046265,637
722.4536743,730
722.6027222,637
722.75177,676
722.9007568,612
723.0498047,680
723.1987915,751
723.3477783,774
723.4967651,602
723.645752,720
723.7946777,662
723.9436646,691
724.0925903,597
724.2415161,843
724.3904419,618
724.5393677,655
724.6882935,781
724.8371582,690
724.9860229,751
725.1349487,665
725.2838135,591
725.4326782,712
725.5814819,743
725.7303467,795
725.8791504,576
726.0280151,761
726.1768188,766
726.3256226,781
726.4744263,727
726.6231689,590
726.7719727,714
726.9207153,655
727.069519,624
727.2182617,693
727.3670044,661
727.515686,757
727.6644287,553
727.8131104,706
727.961853,678
728.1105347,656
728.2592163,672
728.4078979,656
728.5565796,629
728.7052002,723
728.8538208,706
729.0025024,752
729.151123,896
729.2997437,730
729.4483643,789
729.5969238,681
729.7455444,682
729.894104,664
730.0426636,599
730.1912231,640
730.3397827,686
730.4883423,655
730.6368408,602
730.7854004,661
730.9338989,736
731.0823975,751
731.230896,691
731.3793945,753
731.527832,782
731.6763306,638
731.8247681,657
731.9732056,723
732.1216431,638
732.2700806,705
732.4185181,735
732.5669556,768
732.715332,709
732.8637085,641
733.012085,604
733.1604614,689
733.3088379,618
733.4572144,626
733.6055298,718
733.7538452,764
733.9022217,658
734.0505371,623
734.1988525,715
734.3471069,673
734.4954224,682
734.6436768,749
734.7919312,673
734.9402466,665
735.0884399,724
735.2366943,653
735.3849487,652
735.5331421,516
735.6813965,716
735.8295898,698
735.9777832,612
736.1259766,646
736.2741089,544
736.4223022,704
736.5704346,731
736.7186279,678
736.8667603,631
737.0148926,786
737.1629639,588
737.3110962,677
737.4592285,695
737.6072998,1023
737.7553711,521
737.9034424,778
738.0515137,664
738.199585,667
738.3475952,633
738.4956055,632
738.6436768,617
738.791687,732
738.9396973,677
739.0876465,694
739.2356567,684
739.383667,746
739.5316162,750
739.6795654,656
739.8275146,637
739.9754639,710
740.1234131,683
740.2713013,597
740.4191895,634
740.5671387,730
740.7150269,601
740.862915,675
741.0107422,708
741.1586304,797
741.3064575,511
741.4543457,818
741.6021729,683
741.75,820
741.8978271,598
742.0455933,797
742.1934204,813
742.3411865,719
742.4889526,608
742.6367188,775
742.7844849,644
742.932251,704
743.0800171,675
743.2277222,624
743.3754272,643
743.5231323,648
743.6708374,736
743.8185425,789
743.9662476,724
744.1138916,633
744.2615967,774
744.4092407,608
744.5568848,744
744.7045288,618
744.8521118,658
744.9997559,747
745.1473389,616
745.2949829,690
745.4425659,781
745.5901489,569
745.7377319,689
745.8852539,654
746.0328369,711
746.1803589,608
746.3278809,732
746.4754028,736
746.6229248,687
746.7704468,627
746.9179077,620
747.0654297,610
747.2128906,652
747.3603516,569
747.5078125,707
747.6552124,812
747.8026733,733
747.9500732,536
748.0975342,734
748.2449341,755
748.392334,666
748.5397339,812
748.6870728,782
748.8344727,657
748.9818115,723
749.1291504,715
749.2764893,778
749.4238281,713
749.571167,770
749.7185059,691
749.8657837,711
750.0130615,635
750.1603394,608
750.3076172,701
750.454895,651
750.6021729,557
750.7493896,669
750.8966064,760
751.0438843,680
751.1911011,675
751.3382568,582
751.4854736,754
751.6326904,882
751.7798462,610
751.927002,689
752.0741577,583
752.2213135,763
752.3684692,765
752.515625,615
752.6627197,610
752.8098145,685
752.9569092,649
753.1040039,614
753.2510986,661
753.3981934,663
753.5452271,686
753.6923218,752
753.8393555,709
753.9863892,640
754.1334229,723
754.2803955,553
754.4274292,690
754.5744019,778
754.7214355,678
754.8684082,841
755.0153809,672
755.1622925,751
755.3092651,669
755.4561768,821
755.6031494,632
755.750061,744
755.8969727,725
756.0438843,768
756.1907349,706
756.3376465,728
756.4844971,572
756.6313477,782
756.7781982,724
756.9250488,689
757.0718994,666
757.218689,626
757.3655396,731
757.5123291,608
757.6591187,610
757.8059082,405
757.9526978,751
758.0994263,783
758.2462158,738
758.3929443,525
758.5396729,700
758.6864014,669
758.8331299,743
758.9798584,733
759.1265259,800
759.2732544,644
759.4199219,606
759.5665894,625
759.7132568,740
759.8598633,740
760.0065308,624
760.1531372,621
760.2998047,724
760.4464111,722
760.5930176,770
760.739563,662
760.8861694,632
761.0327759,786
761.1793213,675
761.3258667,605
761.4724121,675
761.6189575,634
761.7654419,615
761.9119873,675
762.0584717,574
762.2049561,653
762.3514404,661
762.4979248,743
762.6444092,723
762.7908936,709
762.9373169,612
763.0837402,666
763.2301636,685
763.3765869,553
763.5230103,628
763.6694336,630
763.8157959,647
763.9621582,782
764.1085205,630
764.2548828,696
764.4012451,585
764.5476074,717
764.6939087,785
764.840271,685
764.9865723,694
765.1328735,660
765.2791748,780
765.425415,702
765.5717163,690
765.7179565,673
765.8642578,630
766.010498,752
766.1567383,639
766.3029175,569
766.4491577,732
766.5953369,769
766.7415771,718
766.8877563,667
767.0339355,594
767.1800537,698
767.3262329,572
767.4724121,647
767.6185303,539
767.7646484,751
767.9107666,705
768.0568848,740
768.2029419,643
768.3490601,681
768.4951172,617
768.6412354,644
768.7872925,738
768.9332886,681
769.0793457,812
769.2254028,658
769.3713989,722
769.517395,507
769.6633911,664
769.8093872,666
769.9553833,659
770.1013794,563
770.2473145,575
770.3933105,716
770.5392456,707
770.6851807,693
770.8310547,697
770.9769897,719
771.1229248,738
771.2687988,751
771.4146729,668
771.5605469,712
771.7064209,741
771.8522949,599
771.9981079,631
772.1439209,664
772.2897949,616
772.4356079,720
772.5814209,519
772.7271729,715
772.8729858,598
773.0187378,624
773.1645508,624
773.3103027,879
773.4560547,621
773.6017456,719
773.7474976,820
773.8931885,714
774.0389404,785
774.1846313,848
774.3303223,671
774.4760132,714
774.6216431,595
774.767334,750
774.9129639,654
775.0585938,679
775.2042236,715
775.3498535,605
775.4954834,707
775.6410522,615
775.7866821,707
775.932251,639
776.0778198,638
776.2233887,1155
776.3688965,775
776.5144653,673
776.6599731,625
776.805542,627
776.9510498,887
777.0965576,635
777.2420044,602
777.3875122,724
777.532959,769
777.6784668,827
777.8239136,839
777.9693604,517
778.1148071,752
778.2601929,736
778.4056396,621
778.5510254,667
778.6964111,600
778.8417969,684
778.9871826,698
779.1325684,784
779.2778931,689
779.4232178,652
779.5686035,760
779.7139282,707
779.8592529,738
780.0045166,664
780.1498413,538
780.295105,522
780.4403687,641
780.5856323,711
780.730896,582
780.8761597,653
781.0214233,759
781.166626,824
781.3118286,655
781.4570313,675
781.6022339,800
781.7474365,715
781.8926392,752
782.0377808,701
782.1829224,665
782.328125,792
782.4732056,713
782.6183472,678
782.7634888,640
782.9085693,574
783.0537109,642
783.1987915,720
783.3438721,685
783.4889526,700
783.6339722,737
783.7790527,621
783.9240723,652
784.0690918,572
784.2141113,600
784.3591309,570
784.5041504,638
784.6491089,616
784.7941284,768
784.9390869,624
785.0840454,679
785.2290039,737
785.3739624,486
785.5188599,704
785.6638184,692
785.8087158,539
785.9536133,592
786.0985107,615
786.2434082,636
786.3882446,732
786.5331421,739
786.6779785,622
786.8228149,817
786.9676514,548
787.1124878,760
787.2572632,657
787.4020996,701
787.546875,866
787.6916504,522
787.8364258,760
787.9812012,718
788.1259766,822
788.2706909,587
788.4154053,785
788.5601807,778
788.704895,691
788.8495483,637
788.9942627,721
789.1389771,764
789.2836304,839
789.4282837,723
789.572937,640
789.7175903,780
789.8622437,738
790.0068359,841
790.1514893,651
790.2960815,754
790.4406738,632
790.5852661,569
790.7297974,614
790.8743896,643
791.0189209,593
791.1635132,584
791.3080444,760
791.4525757,663
791.5970459,699
791.7415771,604
791.8860474,664
792.0305786,648
792.1750488,543
792.319519,615
792.4639282,642
792.6083984,782
792.7528076,552
792.8972778,631
793.041687,785
793.1860962,769
793.3305054,787
793.4748535,664
793.6192627,641
793.7636108,774
793.907959,668
794.0523071,703
794.1966553,620
794.3409424,818
794.4852905,643
794.6295776,766
794.7738647,767
794.9181519,812
795.062439,679
795.2067261,611
795.3509521,755
795.4952393,727
795.6394653,646
795.7836914,641
795.9279175,635
796.0720825,673
796.2163086,603
796.3604736,625
796.5046387,756
796.6488037,605
796.7929688,716
796.9371338,793
797.0812988,752
797.2254028,802
797.3695068,698
797.5136108,706
797.6577148,708
797.8018188,710
797.9458618,545
798.0899658,651
798.2340088,813
798.3780518,656
798.5220947,671
798.6661377,628
798.8101196,717
798.9541626,710
799.0981445,812
799.2421265,743
799.3861084,722
799.5300903,770
799.6740112,609
799.8179932,638
799.9619141,769
800.105835,809
800.2497559,597
800.3936768,558
800.5375366,651
800.6814575,658
800.8253174,754
800.9691772,796
801.1130371,623
801.256897,711
801.4006958,687
801.5445557,689
801.6883545,728
801.8321533,645
801.9759521,593
802.119751,617
802.2635498,664
802.4072876,698
802.5510254,632
802.6947632,622
802.838501,698
802.9822388,760
803.1259766,715
803.2696533,604
803.4133911,871
803.5570679,643
803.7007446,694
803.8444214,543
803.9880371,796
804.1317139,635
804.2753296,705
804.4189453,729
804.562561,623
804.7061768,786
804.8497925,667
804.9933472,718
805.1369019,912
805.2805176,749
805.4240723,765
805.5675659,695
805.7111206,749
805.8546753,698
805.9981689,692
806.1416626,668
806.2851563,617
806.4286499,762
806.5721436,663
806.7155762,692
806.8590698,594
807.0025024,620
807.1459351,731
807.2893677,693
807.4327393,550
807.5761719,537
807.7195435,628
807.862915,731
808.0062866,646
808.1496582,817
808.2930298,634
808.4363403,734
808.5797119,611
808.7230225,579
808.866333,592
809.0096436,807
809.1529541,687
809.2962036,545
809.4394531,651
809.5827637,662
809.7260132,863
809.8692627,557
810.0124512,640
810.1557007,719
810.2988892,747
810.4420776,711
810.5852661,574
810.7284546,634
810.8716431,653
811.0148315,577
811.157959,651
811.3010864,729
811.4442139,833
811.5873413,600
811.7304688,674
811.8735352,593
812.0166626,622
812.159729,824
812.3027954,688
812.4458618,665
812.5889282,704
812.7319336,817
812.875,698
813.0180054,578
813.1610107,478
813.3040161,700
813.4469604,722
813.5899658,607
813.7329102,573
813.8759155,605
814.0188599,622
814.1618042,675
814.3046875,753
814.4476318,700
814.5905151,636
814.7333984,735
814.8762817,599
815.019165,760
815.1620483,682
815.3049316,678
815.4477539,745
815.5905762,651
815.7333984,628
815.8762207,661
816.019043,615
816.1618042,726
816.3046265,679
816.4473877,578
816.5901489,788
816.7329102,677
816.8756714,673
817.0183716,515
817.1611328,633
817.303833,594
817.4465332,728
817.5892334,638
817.7319336,895
817.8745728,670
818.0172119,755
818.1599121,692
818.3025513,789
818.4451904,589
818.5877686,697
818.7304077,701
818.8729858,822
819.015625,696
819.1582031,600
819.3007202,738
819.4432983,702
819.5858765,733
819.7283936,550
819.8709106,674
820.0134277,719
820.1559448,727
820.2984619,636
820.440918,651
820.5834351,783
820.7258911,467
820.8683472,709
821.0108032,726
821.1532593,749
821.2956543,883
821.4381104,619
821.5805054,742
821.7229004,801
821.8652954,732
822.0076294,791
822.1500244,709
822.2923584,937
822.4346924,536
822.5770264,702
822.7193604,685
822.8616943,760
823.0040283,720
823.1463013,634
823.2885742,697
823.4308472,806
823.5731201,608
823.7153931,612
823.857605,731
823.9998779,762
824.1420898,709
824.2843018,554
824.4265137,602
824.5686646,721
824.7108765,719
824.8530273,602
824.9951782,771
825.1373291,745
825.27948,752
825.4216309,613
825.5637207,731
825.7058716,635
825.8479614,584
825.9900513,824
826.1321411,706
826.2741699,619
826.4162598,621
826.5582886,738
826.7003174,602
826.8423462,629
826.984375,721
827.1264038,678
827.2683716,657
827.4103394,781
827.5523682,736
827.6943359,660
827.8362427,865
827.9782104,648
828.1201172,610
828.262085,742
828.4039917,602
828.5458984,698
828.6878052,702
828.8296509,751
828.9715576,777
829.1134033,723
829.255249,589
829.3970947,675
829.5389404,781
829.6807861,512
829.8225708,693
829.9643555,804
830.1061401,799
830.2479248,736
830.3897095,736
830.5314941,600
830.6732178,754
830.8149414,809
830.956665,796
831.0983887,660
831.2401123,790
831.3818359,739
831.5234985,586
831.6651611,492
831.8068237,692
831.9484863,733
832.0901489,735
832.2318115,565
832.3734131,738
832.5150146,618
832.6566162,654
832.7982178,777
832.9398193,634
833.0813599,885
833.2229614,759
833.364502,645
833.5060425,560
833.647583,623
833.7891235,694
833.930603,817
834.0721436,780
834.213623,758
834.3551025,851
834.496582,647
834.6380005,690
834.77948,662
834.9208984,683
835.0623169,507
835.2037354,635
835.3451538,705
835.4865723,743
835.6279297,545
835.7693481,563
835.9107056,623
836.052063,816
836.1934204,619
836.3347168,678
836.4760742,671
836.6173706,821
836.758667,736
836.8999634,735
837.0412598,673
837.1825562,711
837.3237915,708
837.4650269,586
837.6063232,763
837.7474976,616
837.8887329,665
838.0299683,520
838.1711426,653
838.3123779,573
838.4535522,750
838.5947266,724
838.7358398,726
838.8770142,638
839.0181274,716
839.1593018,697
839.300415,536
839.4415283,773
839.5825806,655
839.7236938,682
839.8647461,678
840.0057983,736
840.1469116,732
840.2879028,799
840.4289551,635
840.5700073,763
840.7109985,604
840.8519897,752
840.992981,639
841.1339722,659
841.2749634,701
841.4158936,696
841.5568848,798
841.6978149,629
841.8387451,623
841.9796753,744
842.1205444,652
842.2614746,591
842.4023438,578
842.5432129,721
842.684082,554
842.8249512,562
842.9658203,811
843.1066284,619
843.2474365,746
843.3883057,593
843.5291138,715
843.6698608,675
843.8106689,611
843.951416,603
844.0922241,748
844.2329712,679
844.3737183,829
844.5144043,659
844.6551514,689
844.7958374,616
844.9365845,575
845.0772705,606
845.2179565,657
845.3585815,764
845.4992676,598
845.6398926,825
845.7805176,677
845.9211426,556
846.0617676,646
846.2023926,681
846.3430176,824
846.4835815,666
846.6241455,688
846.7647095,773
846.9052734,794
847.0458374,704
847.1863403,723
847.3268433,740
847.4674072,754
847.6079102,803
847.7483521,574
847.888855,753
848.0292969,692
848.1697998,643
848.3102417,629
848.4506836,675
848.5911255,724
848.7315063,588
848.8719482,693
849.0123291,858
849.15271,679
849.2930908,700
849.4334717,824
849.5737915,760
849.7141724,673
849.8544922,525
849.994812,788
850.1351318,656
850.2754517,622
850.4157104,582
850.5559692,694
850.6962891,792
850.8365479,610
850.9767456,671
851.1170044,707
851.2572632,801
851.3974609,672
851.5376587,1463
851.6778564,659
851.8180542,709
851.958252,662
852.0983887,630
852.2385254,583
852.3787231,709
852.5187988,702
852.6589355,623
852.7990723,729
852.9391479,629
853.0792847,696
853.2193604,681
853.359436,887
853.4994507,602
853.6395264,690
853.779541,746
853.9196167,692
854.0596313,801
854.199585,803
854.3395996,883
854.4796143,775
854.6195679,664
854.7595215,674
854.8994751,637
855.0394287,673
855.1793823,621
855.3192749,618
855.4592285,675
